Gene	sgRNA	Cont2_P10.13|beta	Cont2_P10.13|z	Cont2_P10.13|p-value	Cont2_P10.13|fdr	Cont2_P10.13|wald-p-value	Cont2_P10.13|wald-fdr
ZNF521	6	-0.069945	-0.70594	0.49915	0.86552	0.48023	0.73938
SETD1B	7	0.14073	1.8684	0.10074	0.53303	0.061709	0.46683
ZNF717	6	-0.01681	-0.33994	0.88019	0.9866	0.7339	0.88795
HP	6	0.00014902	0.0020957	0.9761	0.99478	0.99833	1
MID1	11	0.04428	0.86719	0.47837	0.85809	0.38584	0.68517
NFATC4	7	0.050213	1.0942	0.5387	0.88227	0.27388	0.61363
ZNF253	6	-0.0044498	-0.071951	0.98008	0.9971	0.94264	0.98395
ZNF619	6	-0.10332	-1.88	0.32812	0.77934	0.06011	0.46683
LTK	6	0.13936	1.4761	0.12863	0.59153	0.13992	0.49722
SETDB2	10	-0.019109	-0.48734	0.85913	0.97861	0.62601	0.81899
SOX10	6	0.14269	1.5443	0.12009	0.57182	0.12252	0.48766
ZNF600	6	-0.015033	-0.20184	0.89414	0.98756	0.84005	0.94473
PIAS4	16	0.099069	1.2813	0.071429	0.4731	0.20007	0.54675
MEIS2	6	-0.23988	-2.1145	0.030734	0.31579	0.034468	0.46683
ZIC3	7	0.057106	0.7554	0.49004	0.86228	0.45001	0.72871
ZNF112	6	0.02478	0.37762	0.77319	0.95939	0.70571	0.87321
ZNF367	5	0.1208	0.81956	0.23051	0.69707	0.41247	0.70504
UBE2V2	7	-0.17317	-2.0371	0.077405	0.48577	0.04164	0.46683
RHBDF2	11	-0.003131	-0.12099	0.95959	0.99387	0.9037	0.97479
DDB1	22	-0.057325	-1.6802	0.31161	0.76842	0.092917	0.47629
KLHL34	6	-0.058828	-0.293	0.57342	0.89444	0.76952	0.90797
DIDO1	6	-0.18309	-1.7342	0.085088	0.5	0.082881	0.47629
DCAF6	10	-0.11223	-2.3706	0.16705	0.63459	0.017758	0.46683
PCGF2	10	0.056753	1.3595	0.40097	0.82312	0.17397	0.52476
HOXA1	6	-0.20034	-1.2661	0.062322	0.44969	0.20548	0.55543
ZNF77	6	-0.035628	-0.54488	0.73791	0.95106	0.58584	0.79735
CDK2	6	-0.036112	-0.5778	0.73534	0.95035	0.5634	0.78286
TFEB	6	0.1262	2.0356	0.16961	0.63675	0.041795	0.46683
KAT2B	6	-0.078518	-1.2629	0.45077	0.8485	0.20661	0.55644
ZNF549	6	0.035303	0.60203	0.69493	0.93681	0.54716	0.76751
KCNA5	6	-0.035816	-0.34207	0.73648	0.95077	0.7323	0.88673
MMP8	6	0.12895	1.6512	0.16192	0.63082	0.098689	0.47629
ZNF574	6	0.080327	1.0251	0.38674	0.81672	0.30532	0.63244
AZU1	6	0.12225	1.4599	0.18554	0.65496	0.14432	0.50063
GRHL2	7	0.17	2.0974	0.048093	0.40431	0.03596	0.46683
neg39	1	-0.007901	-0.70839	0.99232	0.99886	0.4787	0.73938
TIP60	5	-0.32225	-1.3887	0.0071144	0.15152	0.16494	0.51796
RNF113B	10	0.10948	0.80657	0.11952	0.56988	0.41992	0.70976
SMARCA4	14	-0.052494	-0.44456	0.47268	0.85787	0.65664	0.83817
ZNF131	8	-0.33647	-2.6453	0.00028458	0.018182	0.0081619	0.46683
TRPS1	6	0.0068528	0.1372	0.92174	0.98756	0.89087	0.9704
SMARCC1	8	0.049156	0.66292	0.52106	0.87608	0.50738	0.74497
SOCS7	19	-0.07365	-1.5073	0.23164	0.69751	0.13173	0.49069
KDM4C	34	0.012092	0.39077	0.65139	0.91817	0.69597	0.8672
FBXO11	16	-0.23807	-3.3108	0.00028458	0.018182	0.00093016	0.27494
PKN3	5	-0.11352	-1.09	0.33267	0.78194	0.27573	0.61363
ZNF276	6	0.16163	1.7883	0.081389	0.4931	0.073734	0.47416
FBXO34	12	-0.13109	-2.5719	0.078258	0.48673	0.010115	0.46683
DCAF17	8	0.098624	1.1709	0.21172	0.67391	0.24163	0.5896
ZNF688	6	0.045703	0.7705	0.61383	0.90783	0.44101	0.72213
CDKL2	6	-0.24111	-1.9595	0.02988	0.31437	0.050058	0.46683
ADAMTS14	6	0.11581	1.5861	0.21087	0.67302	0.11272	0.47785
LEUTX	7	-0.073181	-1.5927	0.46784	0.85787	0.11123	0.47698
ZSCAN10	6	-0.19058	-1.8004	0.075413	0.48094	0.071795	0.47069
ABL1	6	-0.011821	-0.20764	0.91975	0.98756	0.83551	0.94401
STK3	6	0.070513	0.87643	0.44735	0.84698	0.3808	0.68517
DZIP3	6	0.06857	1.4387	0.45931	0.85412	0.15023	0.50377
RNF34	10	0.19001	2.2128	0.0082527	0.16763	0.026909	0.46683
BNC2	7	0.034083	0.41358	0.66164	0.92445	0.67918	0.85389
MORF	6	-0.086935	-1.0645	0.40296	0.82312	0.28709	0.61929
FOXD4	4	0.36993	1.5393	0.00028458	0.018182	0.12373	0.48766
MYT1	8	-0.092993	-0.97515	0.31929	0.77433	0.32949	0.64713
CAPN2	6	-0.038745	-0.68914	0.71685	0.9419	0.49074	0.74074
TULP1	8	0.025703	0.28147	0.71884	0.9419	0.77835	0.91333
POLR2A	8	-0.11168	-1.631	0.2251	0.69338	0.10289	0.47629
ERBB4	6	-0.089166	-0.95807	0.39243	0.81986	0.33803	0.65451
TRRAP	6	-0.11478	-0.65934	0.2749	0.73985	0.50968	0.74563
ADAMTS8	6	0.038787	0.58893	0.66505	0.92481	0.55591	0.7758
BHLHE40	6	-0.1329	-2.0098	0.20546	0.67288	0.04445	0.46683
PSEN1	6	-0.069246	-0.80112	0.5037	0.86601	0.42306	0.71297
ZNF770	6	0.13871	1.3652	0.13034	0.59153	0.17219	0.52253
TBX15	6	-0.087867	-1.5195	0.39784	0.8225	0.12863	0.48864
WHSC1	18	0.26956	3.3498	0	0	0.00080866	0.27494
ZNF280D	6	-0.0062083	-0.13509	0.96585	0.99387	0.89254	0.97102
RNF41	9	-0.13397	-2.1919	0.11212	0.55853	0.028387	0.46683
RFFL	9	0.075477	0.97137	0.30307	0.75943	0.33136	0.64885
TBX21	7	0.055721	0.8131	0.5	0.86552	0.41616	0.70582
STK31	12	-0.074665	-1.7524	0.32726	0.77913	0.079699	0.47523
CBX2	6	0.048737	0.63367	0.58879	0.89444	0.52629	0.75611
VPS41	11	-0.081758	-1.4513	0.28941	0.75147	0.1467	0.5014
KDM8	11	0.0038995	0.086993	0.88958	0.98756	0.93068	0.98063
SPPL2A	12	-0.048055	-0.90839	0.55065	0.88721	0.36367	0.67563
NRF1	8	-0.071293	-1.4786	0.44195	0.84173	0.13925	0.49722
DDIT3	6	-0.066017	-1.5452	0.52647	0.87719	0.12229	0.48766
FAP	6	0.065439	0.71165	0.47695	0.85787	0.47668	0.73889
CNDP1	6	0.18206	1.9164	0.047809	0.40431	0.055315	0.46683
VPS11	13	-0.0041393	-0.076049	0.99858	0.99886	0.93938	0.98395
SOCS3	14	-0.041047	-0.6768	0.58167	0.89444	0.49853	0.74297
ZFP30	6	-0.13967	-1.9513	0.1881	0.65837	0.051021	0.46683
RCOR3	18	-0.046584	-0.83732	0.47353	0.85787	0.40241	0.69929
USP17L10	6	0.00035295	0.0040524	0.97325	0.99419	0.99677	1
