Gene	sgRNA	eff
ZNF521	ZNF521_E4_276.4	1
ZNF521	ZNF521_E4_276.15	1
ZNF521	ZNF521_E4_276.5	1
ZNF521	ZNF521_E4_276.7	1
ZNF521	ZNF521_E4_276.3	1
ZNF521	ZNF521_E4_276.14	1
SETD1B	SETD1B_e17_118.2	1
SETD1B	SETD1B_e17_118.1	1
SETD1B	SETD1B_e16_138.9	1
SETD1B	SETD1B_e16_138.10	1
SETD1B	SETD1B_e17_118.3	1
SETD1B	SETD1B_e15_95.7	1
SETD1B	SETD1B_e16_138.11	1
ZNF717	ZNF717_E5_1770.65	1
ZNF717	ZNF717_E5_1770.171	1
ZNF717	ZNF717_E5_1770.71	1
ZNF717	ZNF717_E5_1770.106	1
ZNF717	ZNF717_E5_1770.125	1
ZNF717	ZNF717_E5_1770.55	1
HP	HP_1221.43	1
HP	HP_1221.118	1
HP	HP_1221.52	1
HP	HP_1221.61	1
HP	HP_1221.72	1
HP	HP_1221.106	1
MID1	MID1_2004.245	1
MID1	MID1_2004.236	1
MID1	MID1_2004.0	1
MID1	MID1_2004.241	1
MID1	MID1_2004.190	1
MID1	MID1_2004.108	1
MID1	MID1_2004.203	1
MID1	MID1_2004.52	1
MID1	MID1_2004.72	1
MID1	MID1_2004.230	1
MID1	MID1_2004.237	1
NFATC4	NFATC4_E5_200.4	1
NFATC4	NFATC4_E4_141.10	1
NFATC4	NFATC4_E5_200.8	1
NFATC4	NFATC4_E6_173.17	1
NFATC4	NFATC4_E6_173.8	1
NFATC4	NFATC4_E4_141.9	1
NFATC4	NFATC4_E4_141.11	1
ZNF253	ZNF253_E4_828.54	1
ZNF253	ZNF253_E4_828.53	1
ZNF253	ZNF253_E4_828.55	1
ZNF253	ZNF253_E4_828.61	1
ZNF253	ZNF253_E4_828.60	1
ZNF253	ZNF253_E4_828.31	1
ZNF619	ZNF619_E6_732.57	1
ZNF619	ZNF619_E6_732.58	1
ZNF619	ZNF619_E6_732.63	1
ZNF619	ZNF619_E6_732.53	1
ZNF619	ZNF619_E6_732.28	1
ZNF619	ZNF619_E6_732.56	1
LTK	LTK_PKc_E12_91.7	1
LTK	LTK_PKc_E11_35	1
LTK	LTK_PKc_E14_130.1	1
LTK	LTK_PKc_E15_98.15	1
LTK	LTK_PKc_E16_93.11	1
LTK	LTK_PKc_E13_65	1
SETDB2	SETDB2_e14_89.4	1
SETDB2	SETDB2_E7_183.8	1
SETDB2	SETDB2_e14_89.5	1
SETDB2	SETDB2_E7_183.6	1
SETDB2	SETDB2_e14_89.3	1
SETDB2	SETDB2_e13_63.1	1
SETDB2	SETDB2_E7_183.2	1
SETDB2	SETDB2_E7_183.3	1
SETDB2	SETDB2_E7_183.9	1
SETDB2	SETDB2_E7_183.1	1
SOX10	SOX10_E3_91.6	1
SOX10	SOX10_E3_91.1	1
SOX10	SOX10_E3_91.0	1
SOX10	SOX10_E2_122.9	1
SOX10	SOX10_E3_91.5	1
SOX10	SOX10_E2_122.4	1
ZNF600	ZNF600_E3_1785.112	1
ZNF600	ZNF600_E3_1785.72	1
ZNF600	ZNF600_E3_1785.45	1
ZNF600	ZNF600_E3_1785.134	1
ZNF600	ZNF600_E3_1785.81	1
ZNF600	ZNF600_E3_1785.84	1
PIAS4	PIAS4_E9_132.2	1
PIAS4	PIAS4_1533.71	1
PIAS4	PIAS4_E9_132.3	1
PIAS4	PIAS4_1533.299	1
PIAS4	PIAS4_E9_132.8	1
PIAS4	PIAS4_1533.181	1
PIAS4	PIAS4_1533.179	1
PIAS4	PIAS4_1533.175	1
PIAS4	PIAS4_E9_132.5	1
PIAS4	PIAS4_1533.37	1
PIAS4	PIAS4_E9_132.10	1
PIAS4	PIAS4_1533.69	1
PIAS4	PIAS4_E9_132.9	1
PIAS4	PIAS4_1533.182	1
PIAS4	PIAS4_1533.28	1
PIAS4	PIAS4_1533.186	1
MEIS2	MEIS2_E9_77.4	1
MEIS2	MEIS2_E9_77.0	1
MEIS2	MEIS2_E8_63.0	1
MEIS2	MEIS2_E9_77.3	1
MEIS2	MEIS2_E9_77.2	1
MEIS2	MEIS2_E8_63.1	1
ZIC3	ZIC3_E1_118.19	1
ZIC3	ZIC3_E2_137.3	1
ZIC3	ZIC3_E1_118.20	1
ZIC3	ZIC3_E2_137.2	1
ZIC3	ZIC3_E2_137.4	1
ZIC3	ZIC3_E1_118.10	1
ZIC3	ZIC3_E1_118.1	1
ZNF112	ZNF112_E5_1077.55	1
ZNF112	ZNF112_E5_1077.95	1
ZNF112	ZNF112_E5_1077.56	1
ZNF112	ZNF112_E5_1077.63	1
ZNF112	ZNF112_E5_1077.54	1
ZNF112	ZNF112_E5_1077.2	1
ZNF367	ZNF367_E3_53.3	1
ZNF367	ZNF367_E2_31.0	1
ZNF367	ZNF367_E3_53.2	1
ZNF367	ZNF367_E3_53.0	1
ZNF367	ZNF367_E3_53.1	1
UBE2V2	UBE2V2_438.7	1
UBE2V2	UBE2V2_438.4	1
UBE2V2	UBE2V2_438.10	1
UBE2V2	UBE2V2_438.36	1
UBE2V2	UBE2V2_438.17	1
UBE2V2	UBE2V2_438.34	1
UBE2V2	UBE2V2_438.29	1
RHBDF2	RHBDF2_2571.26	1
RHBDF2	RHBDF2_2571.33	1
RHBDF2	RHBDF2_174.3	1
