Gene	sgRNA	Cont2_P10.13|beta	Cont2_P10.13|z	Cont2_P10.13|p-value	Cont2_P10.13|fdr	Cont2_P10.13|wald-p-value	Cont2_P10.13|wald-fdr
ZNF521	6	-0.06731	-0.70471	0.52277	0.86733	0.48099	0.73319
SETD1B	7	0.14076	1.876	0.10928	0.55797	0.060658	0.4622
ZNF717	6	-0.014777	-0.29087	0.9078	0.98998	0.77115	0.9066
HP	6	0.00043132	0.0060796	0.95931	0.99271	0.99515	1
MID1	11	0.045286	0.88625	0.50683	0.8605	0.37548	0.67348
NFATC4	7	0.056804	1.2504	0.50939	0.8605	0.21115	0.55354
ZNF253	6	-0.010119	-0.16251	0.94906	0.992	0.8709	0.95755
ZNF619	6	-0.10853	-1.8347	0.30364	0.75852	0.066554	0.4622
LTK	6	0.15097	1.5721	0.10956	0.55797	0.11593	0.47588
SETDB2	10	-0.023965	-0.60479	0.79283	0.96593	0.54532	0.76345
SOX10	6	0.14627	1.5794	0.12066	0.57297	0.11426	0.47588
ZNF600	6	-0.015816	-0.20448	0.89898	0.98998	0.83798	0.93998
PIAS4	16	0.10002	2.108	0.08025	0.48537	0.035031	0.4622
MEIS2	6	-0.24734	-2.1594	0.021059	0.2803	0.03082	0.4622
ZIC3	7	0.061879	0.8066	0.47069	0.85699	0.4199	0.70546
ZNF112	6	0.024769	0.36995	0.77205	0.96593	0.71142	0.87288
ZNF367	5	0.11477	0.77869	0.26807	0.74232	0.43616	0.7162
UBE2V2	7	-0.16011	-1.9403	0.099032	0.53538	0.052346	0.4622
RHBDF2	11	0.001063	0.039808	0.95959	0.99271	0.96825	0.99486
DDB1	22	-0.054925	-1.6414	0.32954	0.77964	0.10072	0.47566
KLHL34	6	-0.032057	-0.15704	0.77547	0.96593	0.87521	0.95831
DIDO1	6	-0.18332	-1.7162	0.079681	0.48527	0.086124	0.47566
DCAF6	10	-0.11837	-2.4466	0.15111	0.61806	0.01442	0.44478
PCGF2	10	0.054711	1.3135	0.4502	0.84962	0.18901	0.53386
HOXA1	6	-0.17684	-1.1335	0.092772	0.51582	0.257	0.59297
ZNF77	6	-0.038552	-0.60418	0.72823	0.94991	0.54572	0.76371
CDK2	6	-0.043534	-0.79026	0.69465	0.93547	0.42938	0.7134
TFEB	6	0.12222	2.0096	0.20233	0.67586	0.044474	0.4622
KAT2B	6	-0.084893	-1.2484	0.41946	0.83531	0.21187	0.55354
ZNF549	6	0.037837	0.64579	0.67359	0.93042	0.51841	0.74554
KCNA5	6	-0.025675	-0.24466	0.82527	0.97023	0.80672	0.91998
MMP8	6	0.12702	1.6614	0.1864	0.66497	0.096636	0.47566
ZNF574	6	0.084179	1.0672	0.37422	0.81223	0.28589	0.61097
AZU1	6	0.12677	1.4809	0.1864	0.66497	0.13862	0.49458
GRHL2	7	0.16863	2.1262	0.056915	0.4386	0.033484	0.4622
neg39	1	-0.0088054	-0.71011	0.9687	0.99271	0.47763	0.73319
TIP60	5	-0.30002	-1.3072	0.0096756	0.20118	0.19114	0.53395
RNF113B	10	0.12271	0.84105	0.095333	0.52582	0.40032	0.69105
SMARCA4	13	-0.058545	-0.71011	0.41406	0.832	0.47763	0.73319
ZNF131	8	-0.32875	-2.5855	0.00085373	0.058824	0.0097224	0.44478
TRPS1	6	-0.0059535	-0.11187	0.98378	0.99482	0.91093	0.97532
SMARCC1	8	0.052199	0.67007	0.5074	0.8605	0.50281	0.73916
SOCS7	19	-0.069845	-1.4303	0.23876	0.71697	0.15263	0.50448
KDM4C	34	0.011819	0.37112	0.71628	0.94376	0.71054	0.87242
FBXO11	16	-0.24115	-3.31	0.00028458	0.03125	0.00093295	0.26289
PKN3	5	-0.11283	-1.0546	0.30933	0.76388	0.29159	0.61531
ZNF276	6	0.16699	1.7953	0.07399	0.47532	0.072609	0.4622
FBXO34	12	-0.13367	-2.5537	0.068014	0.463	0.010657	0.44478
DCAF17	8	0.10016	1.1768	0.21656	0.69371	0.23926	0.57875
ZNF688	6	0.051271	0.86498	0.5794	0.90088	0.38705	0.68312
CDKL2	6	-0.2318	-1.913	0.032726	0.34188	0.055742	0.4622
ADAMTS14	6	0.12547	1.6413	0.19095	0.66931	0.10073	0.47566
LEUTX	7	-0.072922	-1.5773	0.44678	0.84881	0.11472	0.47588
ZSCAN10	6	-0.17769	-1.7267	0.091633	0.51192	0.084218	0.47566
ABL1	6	-0.012562	-0.21622	0.928	0.98998	0.82882	0.93528
STK3	6	0.066612	0.83394	0.48463	0.8605	0.40431	0.69407
DZIP3	6	0.06478	1.3764	0.4926	0.8605	0.1687	0.5134
RNF34	10	0.19454	2.2497	0.011952	0.22105	0.024466	0.44478
BNC2	7	0.034343	0.41981	0.68668	0.93529	0.67462	0.84999
MORF	6	-0.090705	-1.1366	0.38446	0.8178	0.2557	0.59191
FOXD4	4	0.3686	1.541	0.0034149	0.12903	0.12331	0.48091
MYT1	8	-0.084335	-0.91497	0.3506	0.7933	0.36021	0.66246
CAPN2	6	-0.03286	-0.58727	0.77177	0.96593	0.55702	0.7724
TULP1	8	0.030063	0.3133	0.70746	0.94024	0.75405	0.89669
POLR2A	8	-0.10992	-1.608	0.22738	0.70335	0.10784	0.47566
ERBB4	6	-0.073297	-0.89169	0.48349	0.8605	0.37256	0.67172
TRRAP	6	-0.098175	-1.3515	0.34946	0.79175	0.17655	0.52222
ADAMTS8	6	0.046088	0.64	0.61696	0.91803	0.52218	0.74742
BHLHE40	6	-0.13236	-1.9917	0.20404	0.67705	0.0464	0.4622
PSEN1	6	-0.067706	-0.76389	0.5202	0.86512	0.44493	0.72013
ZNF770	6	0.1389	1.3829	0.14143	0.60875	0.16669	0.5122
TBX15	6	-0.093738	-1.5883	0.37166	0.81017	0.11221	0.47566
WHSC1	18	0.26933	3.3291	0	0	0.00087135	0.26289
ZNF280D	6	-0.0090216	-0.20057	0.95959	0.99271	0.84104	0.94091
RNF41	9	-0.14529	-2.3078	0.092772	0.51582	0.021011	0.44478
RFFL	9	0.082917	1.061	0.29397	0.75567	0.28867	0.61366
TBX21	7	0.05741	0.82716	0.5037	0.8605	0.40814	0.69555
STK31	12	-0.079808	-1.8337	0.28287	0.74775	0.066695	0.4622
CBX2	6	0.042328	0.56047	0.64713	0.92662	0.57516	0.78489
VPS41	11	-0.080823	-1.4304	0.30336	0.75852	0.1526	0.50448
KDM8	11	0.010747	0.24054	0.85344	0.97847	0.80991	0.92224
SPPL2A	12	-0.054134	-0.99717	0.47382	0.8605	0.31868	0.63269
NRF1	8	-0.071055	-1.479	0.42601	0.83819	0.13914	0.49521
DDIT3	6	-0.061301	-1.4063	0.56318	0.8932	0.15963	0.50866
FAP	6	0.066536	0.72698	0.48492	0.8605	0.46724	0.72985
CNDP1	6	0.18459	1.932	0.052077	0.41972	0.05336	0.4622
VPS11	13	-0.0037916	-0.069824	0.99858	0.99943	0.94433	0.98527
SOCS3	14	-0.03295	-0.52496	0.642	0.92662	0.59961	0.80207
ZFP30	6	-0.141	-1.9808	0.18469	0.66496	0.047611	0.4622
RCOR3	18	-0.047326	-0.85548	0.44593	0.84881	0.39229	0.686
USP17L10	6	0.0053398	0.064327	0.92345	0.98998	0.94871	0.98691
PDK1	5	-0.18745	-1.3879	0.10074	0.54128	0.16518	0.51206
NEDD4	12	-0.018009	-0.28874	0.83893	0.9733	0.77278	0.90685
BRPF1	24	-0.0058665	-0.17536	0.96301	0.99271	0.8608	0.95271
RSPRY1	9	-6.5559e-05	-0.0014128	0.96073	0.99271	0.99887	1
neg8	1	0.033559	0.69858	0.88873	0.98954	0.48482	0.73319
RHOBTB1	12	-0.016462	-0.26878	0.85344	0.97847	0.7881	0.91248
ALG13	11	-0.12216	-1.7009	0.11781	0.57064	0.088955	0.47566
SIRT4	6	0.0090585	0.088175	0.89613	0.98998	0.92974	0.98161
RNF133	11	-0.068042	-1.2553	0.38845	0.82081	0.20938	0.55193
PAX5	5	-0.053966	-1.2455	0.63688	0.92556	0.21295	0.55513
HOXB9	6	0.10119	0.924	0.28258	0.74775	0.35549	0.66157
neg46	1	-0.045188	-0.72673	0.84633	0.97668	0.46739	0.72985
TFDP2	2	-0.0062777	-0.23664	0.97923	0.99482	0.81294	0.92329
PHF14	15	-0.16197	-3.1139	0.016505	0.25328	0.0018464	0.28166
ZNF581	6	0.039988	0.5489	0.65822	0.92668	0.58308	0.78984
ZNF527	6	-0.09803	-1.9809	0.35003	0.79253	0.047598	0.4622
STAT6	7	0.013036	0.13785	0.85913	0.98116	0.89036	0.9645
MTF2	17	-0.066692	-1.2495	0.28315	0.74775	0.21147	0.55354
ZBTB18	12	0.032288	0.89916	0.61952	0.91803	0.36857	0.66829
CTSH	6	-0.031482	-0.53006	0.78002	0.96593	0.59607	0.79965
GZF1	13	0.16708	2.2424	0.0088219	0.19375	0.024935	0.44478
RFPL3	9	0.048825	1.1454	0.53643	0.88112	0.25203	0.58862
FOXO6	6	-0.068423	-0.71631	0.51366	0.86273	0.4738	0.73091
PRKX	6	0.042567	0.43576	0.644	0.92662	0.66301	0.84109
TRIM69	8	0.0712	1.4392	0.37308	0.81176	0.15009	0.50303
ASB13	14	0.045065	0.71492	0.44878	0.84946	0.47466	0.73091
TRIM24	24	-0.074781	-2.3683	0.16221	0.63415	0.017871	0.44478
SIX3	6	-0.16557	-1.8323	0.11639	0.56885	0.066906	0.4622
