Gene	sgRNA	Cont2_P13|beta	Cont2_P13|z	Cont2_P13|p-value	Cont2_P13|fdr	Cont2_P13|wald-p-value	Cont2_P13|wald-fdr
ZNF521	6	0.00031203	0.0023958	0.98691	0.99599	0.99809	1
SETD1B	7	0.14793	1.8537	0.10074	0.57536	0.063778	0.60682
ZNF717	6	-0.015867	-0.34117	0.85743	0.97698	0.73297	0.90573
HP	6	0.0056194	0.071067	0.97353	0.99567	0.94334	0.9916
MID1	11	0.038298	0.70404	0.60956	0.92347	0.48141	0.80191
NFATC4	7	0.023189	0.41215	0.81332	0.96294	0.68023	0.88632
ZNF253	6	0.04756	0.69873	0.64257	0.93732	0.48472	0.80191
ZNF619	6	-0.070527	-2.1043	0.45162	0.84912	0.035353	0.60682
LTK	6	0.11105	0.9927	0.25356	0.74979	0.32085	0.73118
SETDB2	10	0.008506	0.19831	0.93825	0.99383	0.8428	0.95707
SOX10	6	0.13941	1.4186	0.14912	0.63462	0.15603	0.61697
ZNF600	6	-0.0023052	-0.039537	0.96244	0.99383	0.96846	0.99595
PIAS4	16	0.077039	0.36937	0.20233	0.71186	0.71185	0.89603
MEIS2	6	-0.17905	-1.6529	0.082527	0.54444	0.098357	0.60682
ZIC3	7	0.056076	0.71283	0.54212	0.89774	0.47595	0.80191
ZNF112	6	0.024331	0.35421	0.81958	0.96515	0.72318	0.90115
ZNF367	5	0.16263	1.0492	0.12692	0.61286	0.29411	0.71563
UBE2V2	7	-0.20819	-2.0471	0.029311	0.35616	0.040649	0.60682
RHBDF2	11	-0.027008	-0.82562	0.69835	0.94409	0.40902	0.77876
DDB1	22	-0.073516	-1.6851	0.14087	0.62864	0.091968	0.60682
KLHL34	6	-0.01697	-0.088353	0.84661	0.97291	0.9296	0.98492
DIDO1	6	-0.16549	-1.5142	0.099317	0.57401	0.12998	0.60682
DCAF6	10	-0.066012	-1.5199	0.37194	0.81412	0.12853	0.60682
PCGF2	10	0.079944	1.5761	0.3008	0.77389	0.11499	0.60682
HOXA1	6	-0.20441	-1.2145	0.052362	0.44712	0.22454	0.67109
ZNF77	6	-0.012743	-0.15662	0.88019	0.98566	0.87555	0.96781
CDK2	6	-0.029275	-0.17281	0.74587	0.95439	0.8628	0.96221
TFEB	6	0.1429	2.0063	0.13944	0.62821	0.044829	0.60682
KAT2B	6	-0.04244	-1.168	0.642	0.93732	0.24279	0.68582
ZNF549	6	0.056648	0.76558	0.5794	0.91465	0.44393	0.79106
KCNA5	6	-0.080827	-0.72562	0.38902	0.81623	0.46807	0.80191
MMP8	6	0.15695	1.5846	0.10273	0.57735	0.11306	0.60682
ZNF574	6	0.063692	0.79258	0.52504	0.89346	0.42803	0.78461
AZU1	6	0.10865	1.3406	0.26608	0.76003	0.18005	0.63459
GRHL2	7	0.17737	1.8707	0.04667	0.42597	0.061384	0.60682
neg39	1	-0.0024832	-0.67135	0.98805	0.99599	0.502	0.80191
TIP60	5	-0.25252	-1.0009	0.032157	0.36893	0.31689	0.73082
RNF113B	10	0.17421	1.5493	0.015083	0.25604	0.12132	0.60682
SMARCA4	14	-0.02518	-0.070133	0.67075	0.94092	0.94409	0.99179
ZNF131	8	-0.38556	-2.7071	0	0	0.0067878	0.60682
TRPS1	6	0.075713	1.5372	0.44195	0.84482	0.12423	0.60682
SMARCC1	8	0.037701	0.62058	0.67388	0.94181	0.53487	0.81967
SOCS7	19	-0.063358	-1.0963	0.23591	0.73428	0.27293	0.70427
KDM4C	34	0.029866	0.92949	0.49032	0.87462	0.35264	0.7505
FBXO11	16	-0.1958	-2.8732	0.0014229	0.075758	0.0040634	0.60682
PKN3	5	-0.13641	-1.4305	0.21315	0.71812	0.15258	0.61239
ZNF276	6	0.13878	1.6358	0.15083	0.63539	0.10188	0.60682
FBXO34	12	-0.1121	-2.445	0.10245	0.57735	0.014486	0.60682
DCAF17	8	0.10008	1.1979	0.24701	0.7464	0.23097	0.6752
ZNF688	6	0.026616	0.39311	0.80194	0.95981	0.69424	0.89047
CDKL2	6	-0.24185	-1.6912	0.023904	0.31579	0.090807	0.60682
ADAMTS14	6	0.062262	1.0034	0.53443	0.89688	0.31569	0.7303
LEUTX	7	-0.072861	-1.5843	0.42003	0.83249	0.11312	0.60682
ZSCAN10	6	-0.20094	-1.5967	0.056346	0.45727	0.11034	0.60682
ABL1	6	-0.016684	-0.31628	0.84832	0.97291	0.75179	0.9143
STK3	6	0.0544	0.54463	0.59277	0.91696	0.58601	0.84325
DZIP3	6	0.098234	1.7468	0.3136	0.78434	0.080677	0.60682
RNF34	10	0.19259	1.9834	0.0088219	0.22464	0.047326	0.60682
BNC2	7	0.051177	0.55663	0.58025	0.91474	0.57778	0.83828
MORF	6	-0.050535	-0.51773	0.58196	0.91474	0.60465	0.85012
FOXD4	4	0.37608	1.5085	0.0014229	0.075758	0.13142	0.60682
MYT1	8	-0.10097	-0.81207	0.23876	0.73596	0.41675	0.78288
CAPN2	6	-0.070606	-1.1164	0.45048	0.84912	0.26426	0.69793
TULP1	8	0.072807	0.90468	0.41491	0.8303	0.36563	0.75808
POLR2A	8	-0.11439	-1.6168	0.18042	0.68353	0.10593	0.60682
ERBB4	6	-0.15035	-0.85287	0.13034	0.61497	0.39373	0.77381
TRRAP	6	-0.21758	-0.33481	0.040694	0.4	0.73777	0.90742
ADAMTS8	6	0.031687	0.6847	0.76437	0.95439	0.49353	0.80191
BHLHE40	6	-0.12126	-1.8705	0.21286	0.71812	0.061411	0.60682
PSEN1	6	-0.051298	-0.67086	0.57627	0.91298	0.50231	0.80191
ZNF770	6	0.13608	1.2241	0.15965	0.64706	0.22092	0.66978
TBX15	6	-0.054117	-0.98071	0.55919	0.9072	0.32674	0.73387
WHSC1	18	0.26802	3.3433	0	0	0.00082778	0.41555
ZNF280D	6	0.034248	0.60938	0.74331	0.95439	0.54227	0.82065
RNF41	9	-0.055947	-0.92861	0.465	0.86181	0.35309	0.7505
RFFL	9	0.065169	0.76238	0.41548	0.83096	0.44583	0.79234
TBX21	7	0.065705	0.94822	0.4778	0.86784	0.34302	0.7404
STK31	12	-0.053176	-1.1202	0.42943	0.84112	0.26262	0.69793
CBX2	6	0.076742	0.7901	0.4354	0.84112	0.42947	0.7852
VPS41	11	-0.079353	-1.3582	0.26579	0.76003	0.17441	0.62807
KDM8	11	-0.016258	-0.31481	0.81076	0.96283	0.7529	0.9143
SPPL2A	12	-0.006869	-0.13926	0.89954	0.98784	0.88924	0.97217
NRF1	8	-0.068291	-1.1339	0.4189	0.83173	0.25684	0.6941
DDIT3	6	-0.095953	-2.0081	0.31246	0.78373	0.044629	0.60682
FAP	6	0.067773	0.70012	0.50085	0.88094	0.48385	0.80191
CNDP1	6	0.17892	1.8477	0.058907	0.46517	0.064645	0.60682
VPS11	13	-0.011545	-0.16836	0.84604	0.97291	0.8663	0.96323
SOCS3	14	-0.051239	-0.87678	0.4078	0.82499	0.38061	0.76635
ZFP30	6	-0.12462	-1.6648	0.20461	0.71329	0.095959	0.60682
RCOR3	18	-0.048909	-0.75735	0.36824	0.81328	0.44884	0.79316
USP17L10	6	-0.0033059	-0.028267	0.95674	0.99383	0.97745	0.99916
PDK1	5	-0.15537	-0.86505	0.16079	0.64868	0.38701	0.77008
NEDD4	12	-0.011644	-0.1919	0.84178	0.97291	0.84782	0.9583
BRPF1	24	-0.015757	-0.45055	0.72425	0.94645	0.65232	0.87457
RSPRY1	9	0.056755	1.0558	0.48093	0.86845	0.29108	0.71435
neg8	1	-0.093405	-0.74437	0.70461	0.94409	0.45665	0.80136
RHOBTB1	12	0.051902	0.73673	0.46614	0.86256	0.46129	0.80191
ALG13	11	-0.055592	-0.71748	0.44081	0.8446	0.47308	0.80191
SIRT4	6	0.045625	0.5162	0.65965	0.94047	0.60571	0.85018
RNF133	11	-0.033864	-0.75965	0.63034	0.93463	0.44747	0.79316
PAX5	5	-0.16062	-1.8035	0.14883	0.63462	0.071316	0.60682
HOXB9	6	0.11871	0.9173	0.22026	0.72336	0.35899	0.75431
neg46	1	-0.065391	-0.73413	0.79624	0.9598	0.46287	0.80191
TFDP2	2	0.0222	1.1473	0.9095	0.99224	0.25125	0.69027
PHF14	15	-0.11926	-0.77497	0.055208	0.45327	0.43836	0.78842
ZNF581	6	0.037896	0.38724	0.71685	0.94461	0.69858	0.89187
ZNF527	6	-0.060099	-1.1537	0.51537	0.88699	0.24863	0.68793
STAT6	7	-0.039556	-0.3549	0.65396	0.94047	0.72267	0.90115
MTF2	17	-0.034091	-0.57736	0.53159	0.89678	0.5637	0.82927
ZBTB18	12	0.022119	0.46378	0.77917	0.95439	0.64281	0.87032
CTSH	6	-0.10543	-1.3311	0.27006	0.76042	0.18316	0.63913
GZF1	13	0.17473	2.144	0.011383	0.25	0.032036	0.60682
RFPL3	9	0.03468	0.77894	0.65879	0.94047	0.43601	0.78842
FOXO6	6	-0.052695	-0.58166	0.56944	0.90996	0.5608	0.82729
PRKX	6	-0.0437	-0.54713	0.63062	0.93463	0.58429	0.84182
TRIM69	8	0.095961	1.5701	0.26665	0.76003	0.1164	0.60682
ASB13	14	0.058334	0.79813	0.37877	0.81412	0.4248	0.78351
TRIM24	24	-0.043784	-1.1312	0.358	0.80913	0.25796	0.69483
SIX3	6	-0.13911	-1.8843	0.15993	0.64747	0.059525	0.60682
ZNF71	6	-0.032994	-0.37542	0.71514	0.94461	0.70735	0.8948
ZXDA	6	-0.16475	-1.7941	0.10102	0.57536	0.072796	0.60682
TAOK1	6	-0.53362	-2.7747	0	0	0.0055253	0.60682
NFX1	13	0.16386	2.4073	0.016221	0.26147	0.01607	0.60682
HES4	6	0.13003	1.4668	0.17985	0.68251	0.14242	0.60682
DSTYK	6	0.080158	0.93819	0.41605	0.83115	0.34815	0.74642
DPF1	12	0.04872	0.73777	0.49829	0.88034	0.46065	0.80191
PAK4	6	0.0087141	0.082512	0.94821	0.99383	0.93424	0.98733
MAZ	6	0.18286	1.3544	0.053785	0.44917	0.1756	0.62807
HMGB1	6	-0.19449	-1.5956	0.062322	0.47921	0.11059	0.60682
