Gene	sgRNA	DLD1-Ts10.21|beta	DLD1-Ts10.21|z	DLD1-Ts10.21|p-value	DLD1-Ts10.21|fdr	DLD1-Ts10.21|wald-p-value	DLD1-Ts10.21|wald-fdr
AAK1	6	-0.24954	-2.1555	0.45876	0.81424	0.03112	0.2363
AATK	6	-0.14977	-1.2189	0.72895	0.93065	0.22289	0.46597
ABL1	6	-0.016208	-0.207	0.781	0.94239	0.83601	0.91828
ABL2	6	-0.05549	-0.54611	0.94738	0.98814	0.58499	0.75535
ACVR1	6	-0.23618	-1.0588	0.48692	0.82946	0.28969	0.53621
ACVR1B	6	0.14275	1.2359	0.19511	0.59464	0.2165	0.46079
ACVR1C	6	0.053112	0.48713	0.49261	0.83349	0.62617	0.77988
ACVR2A	6	0.0457	0.76915	0.52389	0.85555	0.44181	0.67363
ACVRL1	6	0.17801	1.2871	0.12429	0.48341	0.19807	0.44132
ADCK1	6	0.18863	1.0693	0.10182	0.44431	0.28494	0.53065
ADCK2	6	-0.16559	-1.2556	0.68117	0.91134	0.20927	0.45448
ADCK3	6	0.032006	0.41038	0.57708	0.87007	0.68152	0.82147
ADCK4	6	-0.11559	-0.77935	0.82736	0.96178	0.43577	0.66904
ADCK5	6	-0.0016955	-0.016919	0.71729	0.92721	0.9865	0.99627
ADRBK1	6	0.064672	0.49171	0.44966	0.80889	0.62293	0.7775
ADRBK2	6	0.073869	0.92527	0.41553	0.78687	0.35483	0.59635
AK1	6	-0.056789	-0.75386	0.95051	0.98934	0.45093	0.68046
AK2	6	-0.37378	-1.593	0.24431	0.64302	0.11116	0.34936
AK3	6	-0.29573	-1.6498	0.36092	0.75401	0.098974	0.34421
AKT1	6	-0.36242	-2.221	0.25683	0.65772	0.02635	0.2105
AKT2	6	-0.18637	-1.4866	0.61917	0.89588	0.13711	0.37651
AKT3	6	0.19746	1.5614	0.086177	0.41074	0.11843	0.3563
ALK	6	0.017706	0.21891	0.63652	0.90167	0.82672	0.91161
AMHR2	6	-0.016403	-0.18009	0.78157	0.94239	0.85708	0.92695
ANKK1	6	0.10539	1.1408	0.30631	0.7108	0.25396	0.49525
ARAF	6	0.16948	1.0492	0.13908	0.51303	0.29407	0.54078
ATM	6	-0.57017	-2.7007	0.084187	0.40382	0.006919	0.079501
ATR	6	-3.0242	-5.6434	0	0	1.6672e-08	1.2472e-06
AURKA	6	-1.0404	-2.8529	0.0079636	0.091205	0.0043324	0.056628
AURKB	6	-2.1581	-4.3405	0	0	1.4215e-05	0.00046711
AURKC	6	-0.097765	-0.40502	0.89221	0.97723	0.68547	0.82368
AXL	6	-0.24556	-1.2188	0.46843	0.81868	0.22291	0.46597
BCR	6	-0.38682	-1.5912	0.22526	0.62362	0.11158	0.34968
BLK	6	-0.0055007	-0.052028	0.73379	0.9329	0.95851	0.98143
BMP2K	6	0.055585	0.52056	0.4835	0.82946	0.60268	0.76549
BMPR1A	6	-0.047946	-0.35052	0.91581	0.98113	0.72595	0.84827
BMPR1B	6	0.052736	0.4055	0.49488	0.83614	0.68511	0.82354
BMPR2	6	-0.18445	-0.60382	0.62429	0.89755	0.54596	0.74116
BRAF	6	-0.053655	-0.5203	0.93658	0.98241	0.60285	0.76549
BRSK1	6	0.036257	0.24107	0.562	0.86502	0.8095	0.90213
BRSK2	6	-0.35371	-1.9134	0.27105	0.67589	0.055701	0.30604
BTK	6	-0.13355	-0.99089	0.7756	0.94199	0.32174	0.56562
BUB1	6	-2.3425	-4.5274	0	0	5.9715e-06	0.00022576
BUB1B	6	-2.3602	-4.0627	0	0	4.8513e-05	0.0012542
CAMK1	6	-0.020348	-0.22945	0.80148	0.95499	0.81852	0.9065
CAMK1D	6	0.24203	1.5635	0.034699	0.23969	0.11793	0.3563
CAMK1G	6	0.014471	0.10708	0.6496	0.90167	0.91472	0.96062
CAMK2A	6	-0.10547	-0.77869	0.86576	0.97159	0.43616	0.66904
CAMK2B	6	0.19001	1.5045	0.098692	0.43884	0.13244	0.37046
CAMK2D	6	0.18606	1.2861	0.10523	0.44903	0.19841	0.44146
CAMK2G	6	0.1018	0.9321	0.31769	0.72297	0.35129	0.59291
CAMK4	6	0.42487	1.7655	0.00085324	0.015385	0.077473	0.32737
CAMKK1	6	0.18452	1.891	0.11092	0.45991	0.058623	0.30673
CAMKK2	6	-0.088664	-0.9519	0.92861	0.98113	0.34115	0.58143
CAMKV	6	-0.20498	-2.1187	0.56684	0.86502	0.034113	0.24988
CASK	6	0.22846	1.4688	0.049772	0.30034	0.14188	0.38252
CDC42BPA	6	0.12405	0.90281	0.24943	0.64867	0.36662	0.60563
CDC42BPB	6	0.15601	1.0116	0.16638	0.56728	0.31173	0.55734
CDC42BPG	6	-0.20245	-2.1334	0.57622	0.87007	0.032889	0.24396
CDC7	6	-1.4544	-3.2737	0.0011377	0.019704	0.0010616	0.018387
CDK1	8	-2.3821	-5.6961	0	0	1.2256e-08	9.3675e-07
CDK10	6	-0.25334	-1.8317	0.44824	0.80862	0.066991	0.31959
CDK11A	6	-0.38288	-1.1069	0.23151	0.62954	0.26833	0.51163
CDK11B	6	-0.72296	-1.9258	0.039534	0.26316	0.054133	0.30342
CDK12	6	-1.4497	-3.1907	0.0011377	0.019704	0.0014191	0.022888
CDK13	6	-0.68656	-2.7039	0.045791	0.28496	0.0068538	0.079009
CDK14	6	-0.027491	-0.24274	0.83589	0.96266	0.80821	0.9016
CDK15	6	0.3038	1.6214	0.011945	0.12389	0.10494	0.3472
CDK16	6	0.22947	1.6552	0.04835	0.29412	0.097877	0.34311
CDK17	6	0.14859	1.5055	0.18316	0.58746	0.1322	0.37046
CDK18	6	-0.13965	-1.2299	0.76109	0.93903	0.21875	0.46332
CDK2	6	-0.82703	-2.8118	0.021331	0.17523	0.0049272	0.061433
CDK20	6	0.12405	1.0327	0.24943	0.64867	0.30173	0.54797
CDK3	6	0.068383	0.55464	0.43857	0.80312	0.57914	0.75283
CDK4	6	-0.36229	-2.5231	0.25683	0.65772	0.011633	0.11856
CDK5	6	0.19403	1.5871	0.091866	0.42277	0.1125	0.35014
CDK6	6	-0.17547	-1.4806	0.65102	0.90167	0.1387	0.3782
CDK7	6	-2.529	-4.5657	0	0	4.9791e-06	0.00019238
CDK9	11	-2.2276	-6.7956	0	0	1.0786e-11	1.8962e-09
CDKL1	6	-0.1263	-0.8638	0.79977	0.95484	0.3877	0.62358
CDKL2	6	-0.039768	-0.31306	0.88453	0.97677	0.75423	0.86875
CDKL3	6	-0.031066	-0.38601	0.85097	0.96673	0.69949	0.8306
CDKL4	6	0.032975	0.30836	0.57338	0.86913	0.75781	0.87102
CDKL5	6	0.26565	1.6656	0.021331	0.17523	0.095785	0.3423
CHEK1	6	-3.1736	-5.5911	0	0	2.2558e-08	1.5863e-06
CHEK2	6	-0.116	-0.67011	0.82594	0.96178	0.50279	0.72222
CHUK	6	0.12131	0.9883	0.25683	0.65772	0.323	0.56699
