Gene	sgRNA	Ts13|beta	Ts13|z	Ts13|p-value	Ts13|fdr	Ts13|wald-p-value	Ts13|wald-fdr
TMPRSS11B	6	0.034548	0.41622	0.55961	0.831	0.67725	0.7914
ZNF212	6	0.1311	1.1524	0.1563	0.48325	0.24918	0.45292
PBX1	7	0.038867	0.31812	0.48517	0.77778	0.7504	0.84246
NFATC3	6	0.049811	0.66388	0.47547	0.76927	0.50677	0.68005
EN1	6	-0.012817	-0.13428	0.80348	0.94403	0.89318	0.94039
PBRM1	49	0	0	0.26497	0.61442	1	1
CUL3	16	-1.2292	-5.6932	0	0	1.2467e-08	3.3623e-06
NR2E3	6	0.010463	0.33972	0.68254	0.88926	0.73407	0.83155
ZIC5	7	-0.015551	-0.21092	0.7858	0.93421	0.83295	0.89994
HSFX2	6	0.06827	1.3894	0.38876	0.70674	0.16472	0.35729
DPP8	5	0.11521	1.3911	0.249	0.60399	0.16421	0.35729
PRSS36	17	-0.17389	-2.1847	0.2972	0.63848	0.028913	0.20141
neg40	1	0.30189	0.60883	0.21592	0.57523	0.54264	0.69383
KCNA6	6	0.10001	1.1262	0.26013	0.61126	0.26009	0.46407
KDM4A	31	0.039067	1.0481	0.10582	0.40022	0.29459	0.49546
MEP1A	6	-0.021642	-0.23842	0.84626	0.95926	0.81155	0.88832
ADNP	6	0.061016	1.7535	0.42384	0.73492	0.079509	0.26778
ZNF639	5	0.18764	1.6761	0.07587	0.33885	0.093716	0.28083
LONP2	6	-0.044834	-0.69408	0.96435	0.99004	0.48763	0.66562
ZBTB20	11	-0.10521	-1.6856	0.7336	0.91792	0.091866	0.28007
HSF1	7	-0.70734	-3.3285	0.0031375	0.04059	0.00087304	0.017491
ZNF563	6	0.24276	1.8135	0.014546	0.12562	0.069752	0.26001
SPOPL	6	0.19256	1.8536	0.048488	0.26357	0.063793	0.25343
SEC11A	2	-0.093025	-0.27939	0.76982	0.92973	0.77994	0.86781
ATF2	12	0.088962	1.8807	0.1255	0.4283	0.060009	0.24823
KDM4B	33	-0.12859	-2.5077	0.41044	0.72325	0.012152	0.12445
ESX1	6	-0.051556	-0.47443	0.99829	0.99857	0.63519	0.76136
ZNF354A	6	0.16887	1.9179	0.078722	0.34371	0.055123	0.24823
LACTB	6	-0.041617	-0.74755	0.95037	0.98581	0.45473	0.63976
POU4F3	6	-0.20687	-1.5827	0.3996	0.7148	0.1135	0.30094
TRIM59	8	0.16578	2.0202	0.043354	0.24796	0.043368	0.24107
USP16	12	-0.14076	-2.7266	0.51398	0.80062	0.0063995	0.080999
SKP2	16	-0.46103	-4.0214	0.0011409	0.018692	5.7855e-05	0.0020116
ZNF382	6	0.23089	1.6942	0.019681	0.15402	0.090228	0.27888
NHLRC1	10	-0.017349	-0.28364	0.72076	0.91129	0.77668	0.86528
LMX1B	6	-0.002565	-0.033977	0.74843	0.9237	0.9729	0.98819
UBE2G1	8	0.04506	0.80219	0.40416	0.71892	0.42244	0.61202
ADAMTS14	6	0.033734	0.38387	0.56503	0.83368	0.70107	0.80721
KDM4C	34	0.099585	2.9405	0.0068454	0.074303	0.003277	0.051521
NPEPL1	6	-0.0094784	-0.10224	0.78408	0.93381	0.91857	0.9581
AMBRA1	10	0.12561	2.0003	0.071877	0.32898	0.04547	0.24228
ZNF317	6	-0.046673	-0.44021	0.9749	0.99303	0.65979	0.77829
MPND	6	-0.22281	-2.165	0.35767	0.68617	0.030387	0.2063
ZNF541	5	-0.063268	-0.65417	0.93354	0.98473	0.513	0.68465
RFX7	6	0.096866	1.6206	0.27524	0.62646	0.1051	0.29367
KDM5A	28	0.14654	2.9543	0.00085568	0.014423	0.0031338	0.049941
ZNF302	6	0.091504	1.8798	0.29606	0.63848	0.060131	0.24823
ZCWPW1	12	0.038998	0.36547	0.32031	0.65481	0.71476	0.81627
NR1D1	6	-0.031979	-0.65258	0.89932	0.97165	0.51403	0.68498
NKX6	13	-0.0042409	-0.058134	0.56389	0.83368	0.95364	0.97963
ZNF219	5	0.022939	0.32952	0.65488	0.88208	0.74176	0.83783
SUV39H1	15	0.13499	1.7652	0.021677	0.16	0.077524	0.26678
ENDOU	5	-0.037216	-0.61393	0.94181	0.98543	0.53926	0.69331
RPS6KA1	12	-0.086429	-0.8236	0.84912	0.96032	0.41016	0.60068
