Gene	sgRNA	DLD1-Ts4|beta	DLD1-Ts4|z	DLD1-Ts4|p-value	DLD1-Ts4|fdr	DLD1-Ts4|wald-p-value	DLD1-Ts4|wald-fdr
ZNF521	6	-0.0047077	-0.067167	0.96073	0.99353	0.94645	0.9831
SETD1B	7	-0.054128	-0.59221	0.62066	0.88812	0.55371	0.75946
ZNF717	6	0.052212	0.71918	0.54553	0.86131	0.47203	0.72696
HP	6	0.038984	0.66303	0.63318	0.88982	0.50731	0.73655
MID1	11	0.19635	2.3116	0.0065452	0.10044	0.020801	0.30054
NFATC4	7	-0.085266	-1.2351	0.42487	0.80107	0.2168	0.51775
ZNF253	6	0.23219	1.6094	0.012237	0.14676	0.10752	0.4176
ZNF619	6	-0.0084643	-0.10606	0.99232	0.99885	0.91553	0.97079
LTK	6	0.15601	1.3566	0.090495	0.44852	0.1749	0.48287
SETDB2	10	0.15973	1.9518	0.024189	0.22973	0.050957	0.37953
SOX10	6	0.059131	0.67393	0.49345	0.83871	0.50036	0.73655
ZNF600	6	0.079491	1.7823	0.3691	0.76353	0.074696	0.39447
PIAS4	16	0.033419	0.50622	0.48634	0.83773	0.6127	0.79507
MEIS2	6	-0.0035495	-0.059939	0.95191	0.99353	0.9522	0.98392
ZIC3	7	-0.0048247	-0.076639	0.96841	0.99474	0.93891	0.98091
ZNF112	6	-0.030411	-0.36768	0.84007	0.96787	0.71312	0.85877
ZNF367	5	0.16001	1.1892	0.12294	0.51064	0.23436	0.53293
UBE2V2	7	-0.058789	-0.5681	0.58566	0.87911	0.56996	0.77053
RHBDF2	11	-0.11002	-2.322	0.20063	0.61626	0.020234	0.30054
DDB1	22	-0.33625	-4.7819	0	0	1.7362e-06	0.0026585
KLHL34	6	0.0027125	0.014347	0.90239	0.98269	0.98855	1
DIDO1	6	-0.38742	-2.7501	0.00085373	0.021429	0.0059572	0.21806
DCAF6	10	0.064161	1.6352	0.33978	0.74224	0.102	0.41652
PCGF2	10	0.11771	1.8113	0.092487	0.45328	0.070092	0.3922
HOXA1	6	-0.25055	-1.6732	0.026181	0.24084	0.094285	0.4127
ZNF77	6	-0.11349	-1.6523	0.30706	0.71933	0.098465	0.41652
CDK2	6	-0.32417	-2.2816	0.0056915	0.092593	0.022516	0.30314
TFEB	6	0.101	1.4454	0.26779	0.68908	0.14836	0.45402
KAT2B	6	0.03423	0.52117	0.66221	0.89927	0.60225	0.78937
ZNF549	6	0.054926	0.38629	0.52561	0.85312	0.69928	0.85056
KCNA5	6	-0.010949	-0.11354	0.98776	0.99827	0.9096	0.96829
MMP8	6	0.2122	1.8596	0.021059	0.21143	0.062937	0.38712
ZNF574	6	-0.21716	-1.5104	0.051224	0.32847	0.13093	0.44009
AZU1	6	0.070282	0.98277	0.41975	0.79644	0.32572	0.6207
GRHL2	7	0.044551	0.95851	0.56232	0.86989	0.33781	0.6318
neg39	1	0.082785	0.68168	0.72567	0.93044	0.49544	0.73655
TIP60	5	-0.55761	-2.0943	0	0	0.036233	0.36429
RNF113B	10	0.029842	0.31084	0.6309	0.88982	0.75592	0.88396
SMARCA4	14	-0.27927	-2.8926	0	0	0.0038213	0.18835
ZNF131	8	-0.3494	-2.8162	0.0011383	0.027211	0.0048595	0.21153
TRPS1	6	0.20904	1.9484	0.024474	0.23118	0.051367	0.37953
SMARCC1	8	0.011634	0.22898	0.82499	0.96602	0.81888	0.92254
SOCS7	19	-0.0434	-0.93518	0.57627	0.87749	0.3497	0.64068
KDM4C	34	0.097819	2.6815	0.0091064	0.12749	0.0073285	0.24295
FBXO11	16	-0.17727	-2.3681	0.0099602	0.13258	0.017878	0.30054
PKN3	5	0.015882	0.12835	0.83409	0.96716	0.89787	0.96319
ZNF276	6	0.05079	1.2586	0.55549	0.86613	0.20818	0.51385
FBXO34	12	-0.015985	-0.39704	0.93113	0.98762	0.69134	0.84559
DCAF17	8	0.14479	1.4323	0.069721	0.392	0.15207	0.45762
ZNF688	6	0.0028661	0.04989	0.90154	0.98269	0.96021	0.98523
CDKL2	6	-0.15577	-1.8653	0.16904	0.57391	0.062146	0.38514
ADAMTS14	6	-0.021703	-0.31982	0.90495	0.98269	0.74911	0.88033
LEUTX	7	0.10938	1.5371	0.19351	0.60877	0.12426	0.43419
ZSCAN10	6	-0.42105	-2.7684	0.00056915	0.017391	0.0056325	0.21335
ABL1	6	0.15623	2.0854	0.090211	0.44837	0.03703	0.36876
STK3	6	-0.091135	-1.0846	0.42203	0.80011	0.27811	0.57152
DZIP3	6	0.13382	1.5811	0.14001	0.53888	0.11386	0.41997
RNF34	10	0.019482	0.15511	0.72197	0.92828	0.87674	0.95164
BNC2	7	-0.045098	-0.62907	0.6918	0.9137	0.5293	0.74577
MORF	6	0.0072487	0.1794	0.86938	0.9751	0.85762	0.94061
FOXD4	4	0.21669	1.627	0.054639	0.34103	0.10373	0.41652
MYT1	8	-0.049902	-0.67747	0.6605	0.89927	0.49811	0.73655
CAPN2	6	-0.061983	-1.1256	0.60102	0.88257	0.26034	0.55478
TULP1	8	-0.03245	-0.59653	0.79937	0.96034	0.55082	0.75698
POLR2A	8	-0.34581	-2.9925	0.0011383	0.027211	0.0027667	0.15336
ERBB4	6	0.077284	1.6234	0.38076	0.77108	0.10451	0.41652
TRRAP	6	-0.4664	-2.3016	0	0	0.021359	0.30058
ADAMTS8	6	-0.075539	-0.97522	0.51338	0.84511	0.32945	0.62343
