Gene	sgRNA	Cont2|beta	Cont2|z	Cont2|p-value	Cont2|fdr	Cont2|wald-p-value	Cont2|wald-fdr
MME	6	0.031248	0.4693	0.60871	0.86261	0.63885	0.77518
UBC	4	-0.57218	-1.8479	0.0071144	0.089606	0.064615	0.31322
TTF1	12	-0.88561	-4.6929	0	0	2.6933e-06	0.00059151
RNF19B	16	0.12194	1.8193	0.025327	0.20554	0.068867	0.31387
CDYL2	6	0.13948	1.7117	0.12948	0.48977	0.086952	0.32714
DOT1L	12	-0.12104	-1.982	0.33438	0.73209	0.047482	0.30164
CUL3	16	-0.084187	-1.6298	0.50114	0.81592	0.10313	0.33984
CPA6	6	-0.07468	-1.0223	0.70205	0.90201	0.30664	0.54339
ARAF	6	0.046768	0.60401	0.5222	0.82435	0.54583	0.71145
CDK12	6	-0.38406	-1.2221	0.021343	0.18797	0.22165	0.45844
NAALADL2	12	0.14656	2.2806	0.021059	0.1864	0.022574	0.24111
PCSK4	6	0.062797	0.81188	0.43512	0.80178	0.41686	0.63928
KMT2C	67	0	0	0.47923	0.80871	1	1
ZNF264	6	0.18262	1.5529	0.048947	0.29809	0.12045	0.35361
KLF6	6	-0.13088	-1.7663	0.43569	0.80241	0.077348	0.32007
ZNF555	6	0.1054	1.5728	0.24018	0.64973	0.11576	0.34941
MLLT10	6	-0.1738	-1.1609	0.28059	0.68377	0.24569	0.48098
CAPN14	6	0.084767	1.2013	0.3284	0.72579	0.22964	0.46881
LTK	6	-0.077996	-1.0921	0.68355	0.89593	0.2748	0.51228
FBXW9	14	-0.15655	-2.609	0.14997	0.52226	0.0090804	0.15123
USP13	6	0.044107	0.73555	0.53699	0.83436	0.462	0.67058
PROZ	6	-0.10645	-1.271	0.53756	0.83436	0.20372	0.43733
ZSCAN22	6	0.022873	0.2566	0.66164	0.88407	0.79749	0.88459
YBX3	4	-0.14555	-1.7005	0.44593	0.80773	0.089046	0.32769
CDKL2	6	0.22728	1.854	0.014513	0.14489	0.063743	0.31289
NFATC2	6	-0.014071	-0.20315	0.91918	0.97998	0.83902	0.90647
CYLD	6	0.08142	1.1482	0.3432	0.73671	0.2509	0.48604
VPS11	13	-0.11355	-1.3117	0.356	0.74597	0.18962	0.42681
TGIF2	6	-0.0065367	-0.13018	0.86767	0.96671	0.89642	0.94051
PCSK6	6	0.017614	0.36575	0.69607	0.90199	0.71456	0.82775
SHH	6	-0.081646	-0.63585	0.66335	0.88507	0.52488	0.70114
FGR	6	-0.0047555	-0.050332	0.85828	0.96671	0.95986	0.97994
SMN1	6	-0.34173	-1.9359	0.039556	0.26834	0.052877	0.30411
ZNF257	6	0.13657	1.9533	0.13802	0.50207	0.050781	0.30337
TRIM33	27	0.06	1.389	0.09761	0.4245	0.16483	0.40233
BRWD3	17	0.091062	2.0229	0.069721	0.36123	0.043084	0.2965
IKBKE	5	0.12566	0.91261	0.20774	0.61326	0.36145	0.59425
neg3	1	0.26152	0.62183	0.25839	0.66934	0.53405	0.70604
NR1I2	6	-0.014695	-0.15415	0.92373	0.98013	0.87749	0.93106
ZNF587	6	0.093991	1.8041	0.28543	0.6846	0.071211	0.31619
PMS1	7	0.16462	1.8708	0.053216	0.3096	0.061373	0.31203
GGTLC2	6	-0.38006	-1.8862	0.023051	0.19332	0.059272	0.31039
ZKSCAN8	6	0.19413	1.8891	0.038418	0.26316	0.058875	0.31039
DCAF16	7	0.11607	1.5357	0.15253	0.52693	0.12461	0.35815
KDM2A	42	0	0	0.47923	0.80871	1	1
NEK7	6	0.023004	0.37888	0.66079	0.88407	0.70478	0.82077
PCGF5	6	0.062037	1.9646	0.44052	0.80457	0.049461	0.30164
RNF217	13	0.17501	2.7529	0.0048378	0.066406	0.0059065	0.12354
MMP27	6	0.021875	0.50756	0.66619	0.88507	0.61176	0.75962
TRIM50	8	0.098758	1.1876	0.19209	0.59194	0.23499	0.47389
KCNC4	6	-0.1692	-1.3227	0.29397	0.69562	0.18593	0.42401
GATA1	6	0.0053426	0.062921	0.78657	0.9395	0.94983	0.97394
ZMIZ1	14	-0.014443	-0.33701	0.83722	0.95875	0.73611	0.8439
HIVEP3	6	0.16325	1.7835	0.075982	0.37083	0.074499	0.31792
ZMYND8	20	-0.019152	-0.55912	0.83978	0.95875	0.57608	0.73213
HABP2	6	-0.060424	-0.66981	0.79397	0.9413	0.50298	0.69345
TBX21	7	-0.12147	-2.3658	0.43853	0.80457	0.017991	0.21582
ZNF140	6	0.18867	1.8123	0.042686	0.27505	0.069933	0.31453
CSF1R	6	-0.010486	-0.20476	0.89442	0.97158	0.83776	0.90647
CFLAR	6	-0.15466	-2.1769	0.34519	0.73726	0.029488	0.27119
POU3F1	6	-0.14189	-1.1585	0.39101	0.7713	0.24666	0.48206
CHD1L	13	-0.050886	-0.83783	0.81275	0.94947	0.40213	0.62719
