Gene	sgRNA	Cont1|beta	Cont1|z	Cont1|p-value	Cont1|fdr	Cont1|wald-p-value	Cont1|wald-fdr
AAK1	6	0.17088	0.27853	0.87742	0.9807	0.7806	0.88851
AATK	6	-0.17528	-0.3517	0.74915	0.96484	0.72506	0.86271
ABL1	6	-0.18024	-0.44166	0.74602	0.96409	0.65874	0.82719
ABL2	6	-0.078332	-0.17252	0.85836	0.97955	0.86303	0.9259
ACVR1	6	0.32957	0.55132	0.69653	0.94776	0.58142	0.78444
ACVR1B	6	0.22585	0.41667	0.81513	0.97551	0.67692	0.83745
ACVR1C	6	0.34928	0.7293	0.6752	0.94388	0.46582	0.71139
ACVR2A	6	0.036523	0.060205	0.97725	0.9945	0.95199	0.9813
ACVRL1	6	0.68802	0.86791	0.34556	0.83707	0.38544	0.68713
ADCK1	6	0.84767	0.92765	0.23948	0.78839	0.35359	0.68713
ADCK2	6	-0.24427	-0.44936	0.68117	0.94388	0.65318	0.82461
ADCK3	6	-0.28592	-0.74611	0.6442	0.93714	0.4556	0.70912
ADCK4	6	-0.19337	-0.43247	0.73379	0.96229	0.6654	0.8302
ADCK5	6	-1.088	-2.228	0.15159	0.71088	0.025881	0.25068
ADRBK1	6	1.0265	0.90283	0.14761	0.70999	0.36662	0.68713
ADRBK2	6	0.27235	0.63166	0.76621	0.97327	0.52761	0.7517
AK1	6	-0.27778	-0.52637	0.65017	0.93893	0.59863	0.79636
AK2	6	0.028491	0.064972	0.96815	0.99358	0.9482	0.97853
AK3	6	0.55542	0.83939	0.45876	0.89179	0.40125	0.68823
AKT1	6	-1.4869	-3.069	0.059727	0.51852	0.0021481	0.040389
AKT2	6	0.29914	1.2468	0.73549	0.96229	0.21246	0.68713
AKT3	6	1.1455	1.0274	0.10154	0.63966	0.30424	0.68713
ALK	6	0.29604	0.7574	0.73777	0.96229	0.44881	0.70455
AMHR2	6	-0.2559	-0.61489	0.6698	0.94388	0.53863	0.7574
ANKK1	6	0.29807	0.74106	0.73635	0.96229	0.45865	0.70913
ARAF	6	0.015951	0.09042	0.95364	0.99204	0.92795	0.96615
ATM	6	-1.4767	-2.8131	0.062287	0.52143	0.0049069	0.076339
ATR	6	-2.0992	-3.8757	0.020762	0.37949	0.00010633	0.0033691
AURKA	6	0.096502	0.16392	0.9616	0.99354	0.8698	0.92983
AURKB	6	0.1889	1.104	0.85751	0.97954	0.26961	0.68713
AURKC	6	-0.5712	-1.1587	0.40415	0.8556	0.24658	0.68713
AXL	6	-0.90642	-1.519	0.21985	0.77845	0.12876	0.68563
BCR	6	1.1105	0.94905	0.11519	0.66502	0.3426	0.68713
BLK	6	-1.2885	-2.5311	0.09215	0.62308	0.011371	0.13692
BMP2K	6	1.7567	0.67851	0.0076792	0.3254	0.49745	0.73393
BMPR1A	6	-0.86298	-1.8311	0.23805	0.78839	0.067086	0.48335
BMPR1B	6	-0.30688	-0.65257	0.6223	0.9303	0.51403	0.74423
BMPR2	6	0.58235	0.85785	0.43458	0.87414	0.39098	0.68713
BRAF	6	0.74011	1.024	0.30688	0.8221	0.30583	0.68713
BRSK1	6	-0.81048	-1.6802	0.26792	0.81313	0.092914	0.58489
BRSK2	6	-0.77507	-1.3645	0.28612	0.81869	0.17241	0.68713
BTK	6	-0.57212	-1.1272	0.40301	0.8556	0.25966	0.68713
BUB1	6	-0.92476	-1.9161	0.21189	0.7731	0.055349	0.41494
BUB1B	6	-0.9734	-2.0317	0.19482	0.76027	0.042186	0.35149
CAMK1	6	-0.58561	-1.2707	0.39477	0.84939	0.20384	0.68713
CAMK1D	6	1.3095	0.83976	0.057452	0.51852	0.40105	0.68823
CAMK1G	6	1.0025	1.0818	0.15956	0.72506	0.27932	0.68713
CAMK2A	6	0.90766	0.8848	0.20364	0.76333	0.37627	0.68713
CAMK2B	6	-0.55298	-1.3534	0.41695	0.86643	0.17594	0.68713
CAMK2D	6	0.64652	0.79321	0.37742	0.84498	0.42765	0.69752
CAMK2G	6	-1.5978	-2.6536	0.049488	0.50562	0.0079639	0.10606
CAMK4	6	-0.54845	-1.2364	0.42036	0.86737	0.2163	0.68713
CAMKK1	6	1.7511	0.76406	0.0079636	0.3254	0.44483	0.70285
CAMKK2	6	-44.749	-60.904	0.0017065	0.2069	0	0
CAMKV	6	-0.78658	-1.607	0.28214	0.81869	0.10806	0.62906
CASK	6	0.55937	1.0527	0.45535	0.89179	0.29248	0.68713
