Gene	sgRNA	Ts10|beta	Ts10|z	Ts10|p-value	Ts10|fdr	Ts10|wald-p-value	Ts10|wald-fdr
AAK1	6	-0.53614	-1.2418	0.32708	0.84	0.2143	0.66759
AATK	6	-1.2977	-2.872	0.019625	0.29583	0.0040786	0.086911
ABL1	6	0.3503	1.0099	0.44397	0.88292	0.31253	0.66954
ABL2	6	0.39178	1.2585	0.3851	0.86361	0.20822	0.66759
ACVR1	6	1.0189	1.0096	0.024175	0.31136	0.31268	0.66954
ACVR1B	6	-0.12866	-0.34425	0.85154	0.98845	0.73066	0.88169
ACVR1C	6	0.22928	0.58441	0.60865	0.93089	0.55894	0.80119
ACVR2A	6	0.20438	0.40814	0.64249	0.94254	0.68317	0.85664
ACVRL1	6	-0.5464	-1.7746	0.31968	0.83826	0.075963	0.52267
ADCK1	6	-0.5797	-1.413	0.29437	0.82809	0.15767	0.66759
ADCK2	6	0.36751	0.74665	0.41809	0.87403	0.45527	0.73927
ADCK3	6	-0.72859	-1.4486	0.18714	0.7163	0.14745	0.66759
ADCK4	6	-0.10231	-0.22698	0.8905	0.98867	0.82044	0.92629
ADCK5	6	-0.14788	-0.30926	0.82167	0.98327	0.75713	0.89331
ADRBK1	6	-0.32489	-0.71584	0.55973	0.91577	0.47409	0.74895
ADRBK2	6	1.0442	1.1668	0.0219	0.30435	0.24327	0.66759
AK1	6	-0.55507	-1.4	0.31342	0.83044	0.16152	0.66759
AK2	6	0.092476	0.19927	0.80688	0.97832	0.84205	0.93603
AK3	6	-0.19659	-0.7224	0.74545	0.96113	0.47005	0.74715
AKT1	6	-0.63059	-1.4847	0.25341	0.79045	0.13762	0.66759
AKT2	6	-0.16476	-0.77229	0.79693	0.97602	0.43994	0.73068
AKT3	6	0.73912	1.3149	0.10836	0.61415	0.18853	0.66759
ALK	6	-0.38961	-1.0919	0.47497	0.89162	0.27487	0.66759
AMHR2	6	-1.1437	-2.5805	0.040102	0.40517	0.0098644	0.1508
ANKK1	6	0.42795	0.91761	0.34784	0.8527	0.35882	0.68554
ARAF	6	0.13839	0.276	0.73493	0.96113	0.78255	0.90597
ATM	6	-0.12139	-0.37485	0.86121	0.98867	0.70777	0.86963
ATR	6	-0.50504	-1.1116	0.35239	0.85316	0.2663	0.66759
AURKA	6	-0.86866	-1.6885	0.11633	0.62538	0.091313	0.57026
AURKB	6	-1.4522	-2.7499	0.011377	0.22727	0.0059613	0.11208
AURKC	6	0.063268	0.12775	0.85011	0.98845	0.89834	0.96181
AXL	6	-0.65106	-1.7116	0.23493	0.76695	0.086966	0.55594
BCR	6	0.73924	1.0521	0.10836	0.61415	0.29275	0.6695
BLK	6	-0.1105	-0.24894	0.87656	0.98867	0.80341	0.91803
BMP2K	6	-0.66035	-1.5698	0.22924	0.75539	0.11645	0.6489
BMPR1A	6	-0.91909	-2.1727	0.098692	0.58883	0.029801	0.31325
BMPR1B	6	0.23454	0.78746	0.59926	0.93089	0.43101	0.72322
BMPR2	6	0.18425	0.45594	0.66268	0.94386	0.64844	0.84222
BRAF	6	0.14084	0.3127	0.73237	0.96113	0.75451	0.89232
BRSK1	6	0.85016	1.2943	0.0657	0.5	0.19556	0.66759
BRSK2	6	-1.2284	-3.0116	0.028726	0.34589	0.0025988	0.063455
BTK	6	-0.73891	-1.6164	0.17947	0.70661	0.10601	0.6179
BUB1	6	-1.1081	-2.4729	0.045791	0.42744	0.013403	0.18239
BUB1B	6	-1.086	-3.1199	0.050626	0.45524	0.0018092	0.04931
CAMK1	6	-0.3541	-0.77483	0.51706	0.906	0.43844	0.72921
CAMK1D	6	0.45936	1.0258	0.31115	0.83005	0.305	0.6695
CAMK1G	6	-0.3234	-0.77021	0.56229	0.91825	0.44117	0.73163
CAMK2A	6	0.02611	0.071255	0.90927	0.98867	0.9432	0.9826
CAMK2B	6	-0.20328	-0.43848	0.73862	0.96113	0.66104	0.84992
CAMK2D	6	-0.49268	-1.4004	0.36291	0.85695	0.16138	0.66759
CAMK2G	6	-0.57609	-1.3487	0.29636	0.82809	0.17745	0.66759
CAMK4	6	0.09107	0.20295	0.80859	0.97832	0.83917	0.93485
CAMKK1	6	0.89063	1.1032	0.052901	0.46384	0.26995	0.66759
CAMKK2	6	-0.28597	-0.72166	0.61547	0.93196	0.4705	0.7472
CAMKV	6	-1.2192	-2.7302	0.029579	0.35135	0.0063294	0.11412
CASK	6	1.2333	0.95101	0.0062571	0.16418	0.3416	0.6849
CDC42BPA	6	-0.18681	-0.50382	0.76507	0.9694	0.61439	0.82079
CDC42BPB	6	0.26038	0.62317	0.55916	0.91577	0.53317	0.787
CDC42BPG	6	0.23715	0.54221	0.59528	0.93089	0.58768	0.81299
CDC7	6	-0.72628	-1.4029	0.188	0.71692	0.16064	0.66759
CDK1	8	-1.1745	-3.0201	0.016496	0.28365	0.0025272	0.06302
CDK10	6	0.58217	0.89389	0.19795	0.73053	0.37138	0.68879
CDK11A	6	-0.48758	-1.243	0.36689	0.85695	0.21388	0.66759
CDK11B	6	-1.4969	-2.6815	0.0091013	0.2	0.007329	0.1263
CDK12	6	-1.2507	-2.7251	0.025313	0.31786	0.0064286	0.11474
CDK13	6	0.035774	0.11854	0.8942	0.98867	0.90564	0.96537
CDK14	6	-0.1032	-0.22527	0.88908	0.98867	0.82177	0.92629
CDK15	6	-0.38532	-0.95472	0.48151	0.89357	0.33972	0.6849
CDK16	6	-0.35522	-1.581	0.51564	0.906	0.11388	0.64166
CDK17	6	0.41375	0.76564	0.3632	0.85695	0.44389	0.73197
CDK18	6	-1.2057	-2.8893	0.03157	0.36513	0.0038612	0.08485
CDK2	6	-1.1784	-2.5428	0.034699	0.37538	0.010997	0.16246
CDK20	6	0.12298	0.31012	0.76308	0.96898	0.75647	0.89313
CDK3	6	0.069316	0.17201	0.84243	0.98668	0.86343	0.94866
CDK4	6	-2.5945	-4.7091	0.00085324	0.042857	2.4886e-06	0.00023026
CDK5	6	0.42533	0.8699	0.35125	0.8529	0.38436	0.6958
CDK6	6	-0.7595	-2.0261	0.16695	0.69385	0.042755	0.38641
CDK7	6	-1.4449	-3.1124	0.011661	0.22778	0.0018556	0.049921
CDK9	11	-1.6514	-4.902	0.00056883	0.04	9.4863e-07	0.00010381
CDKL1	6	0.13699	0.4252	0.73805	0.96113	0.67069	0.85312
CDKL2	6	-0.22073	-0.62969	0.71416	0.96096	0.52889	0.78299
CDKL3	6	0.19442	0.52521	0.65301	0.94386	0.59943	0.81753
CDKL4	6	-0.38362	-1.2905	0.48237	0.89357	0.19687	0.66759
CDKL5	6	-0.068715	-0.3409	0.938	0.98867	0.73318	0.88169
CHEK1	6	-2.5098	-4.028	0.00085324	0.042857	5.6255e-05	0.0029969
CHEK2	6	0.32705	0.73936	0.47042	0.88937	0.45969	0.74107
CHUK	6	0.29618	0.7908	0.50967	0.90323	0.42906	0.72233
CIT	6	-0.82017	-1.6838	0.13623	0.65847	0.092222	0.57287
CLK1	6	-1.0327	-2.6007	0.059727	0.48499	0.0093028	0.14409
CLK2	6	0.29165	0.63675	0.51735	0.906	0.52429	0.78139
CLK3	6	-0.53429	-1.242	0.32793	0.84	0.21424	0.66759
CLK4	6	0.35152	0.83412	0.4417	0.88152	0.40421	0.70322
CSF1R	6	0.023486	0.069702	0.91496	0.98867	0.94443	0.98325
CSK	6	0.88101	1.1655	0.055745	0.47343	0.24383	0.66759
CSNK1A1	6	0.4096	0.66026	0.36746	0.85695	0.50909	0.77308
CSNK1D	6	-0.57067	-1.8387	0.30091	0.82809	0.065955	0.4875
CSNK1E	6	-0.5956	-1.1382	0.28328	0.82699	0.25505	0.66759
CSNK1G1	6	0.022983	0.068715	0.91553	0.98867	0.94522	0.98325
CSNK1G2	6	-0.48034	-1.0092	0.37656	0.85806	0.31287	0.66954
CSNK1G3	6	-0.028248	-0.069155	0.99858	0.99915	0.94487	0.98325
CSNK2A1	5	-0.50589	-1.2418	0.4178	0.87403	0.21429	0.66759
CSNK2A2	6	-1.4217	-3.5532	0.013083	0.24211	0.00038057	0.014704
DAPK1	6	0.096956	0.24134	0.80063	0.97709	0.80929	0.92026
DAPK2	6	0.6111	1.1621	0.17776	0.70661	0.24518	0.66759
DAPK3	6	-0.25152	-0.88876	0.66837	0.9442	0.37413	0.6899
DCLK1	6	-0.059202	-0.1362	0.95478	0.99086	0.89166	0.9586
DCLK2	6	0.83067	0.98626	0.071672	0.51745	0.32401	0.67942
DCLK3	6	0.32372	0.81426	0.4744	0.8915	0.4155	0.71281
DDR1	6	1.0317	1.1168	0.023891	0.31111	0.2641	0.66759
DDR2	6	0.31009	0.74789	0.49175	0.89877	0.45453	0.73919
DMPK	6	1.0366	1.1049	0.023038	0.31111	0.26922	0.66759
DSTYK	6	-1.0573	-2.4021	0.054892	0.46845	0.016302	0.20918
DYRK1A	6	0.67121	0.90084	0.13709	0.65847	0.36767	0.68717
DYRK1B	6	-0.021404	-0.067413	0.98692	0.99713	0.94625	0.98375
