Gene	sgRNA	Ts3.12.17|beta	Ts3.12.17|z	Ts3.12.17|p-value	Ts3.12.17|fdr	Ts3.12.17|wald-p-value	Ts3.12.17|wald-fdr
AAK1	6	0.063764	0.78364	0.22241	0.7607	0.43325	0.71888
AATK	6	-0.10583	-1.7498	0.30546	0.80873	0.08015	0.47177
ABL1	6	0.04373	1.4136	0.37173	0.83684	0.15749	0.50977
ABL2	6	0.087611	1.4091	0.10609	0.64483	0.15881	0.50977
ACVR1	6	0.027069	0.66192	0.53072	0.90394	0.50802	0.75113
ACVR1B	6	0.011756	0.21013	0.69226	0.93764	0.83357	0.92878
ACVR1C	6	0.008526	0.18152	0.72469	0.94479	0.85596	0.93922
ACVR2A	6	0.040011	0.81037	0.40557	0.858	0.41773	0.70495
ACVRL1	6	0.02147	0.50633	0.58732	0.91941	0.61262	0.8024
ADCK1	6	-0.0027988	-0.034421	0.84983	0.97692	0.97254	0.99084
ADCK2	6	-0.023893	-0.28817	0.90956	0.98492	0.77322	0.89863
ADCK3	6	0.0094008	0.35663	0.71843	0.94422	0.72137	0.8695
ADCK4	6	9.3921e-05	0.0011998	0.81883	0.97207	0.99904	1
ADCK5	6	-0.028496	-0.38175	0.86661	0.9788	0.70264	0.85922
ADRBK1	6	-0.14866	-1.3973	0.17179	0.72662	0.16232	0.51311
ADRBK2	6	0.0013158	0.032155	0.80432	0.96849	0.97435	0.99084
AK1	6	0.12342	1.5469	0.028157	0.40909	0.12189	0.48593
AK2	6	0.074041	0.84122	0.16951	0.72662	0.40022	0.69695
AK3	6	0.016578	0.58856	0.64306	0.92702	0.55615	0.77321
AKT1	6	0.019298	0.31389	0.61149	0.92602	0.75361	0.88737
AKT2	6	-0.037607	-1.2814	0.77787	0.95496	0.20004	0.53821
AKT3	6	0.0089213	0.19738	0.72156	0.94422	0.84353	0.93467
ALK	6	-0.034044	-0.55572	0.81456	0.97207	0.5784	0.78885
AMHR2	6	-0.0027535	-0.065922	0.84983	0.97692	0.94744	0.97861
ANKK1	6	0.069833	1.6378	0.188	0.73311	0.10147	0.47177
ARAF	6	-0.010053	-0.17344	0.93572	0.98889	0.86231	0.9407
ATM	6	-0.19736	-1.6346	0.095563	0.62407	0.10213	0.47177
ATR	6	-0.077396	-1.0407	0.45762	0.88152	0.29801	0.60918
AURKA	6	-0.26146	-1.1418	0.044369	0.48598	0.25353	0.57846
AURKB	6	0.058388	0.7912	0.25825	0.79286	0.42882	0.71593
AURKC	6	-0.033563	-0.4899	0.81911	0.97207	0.6242	0.80963
AXL	6	0.0058497	0.079097	0.75569	0.95146	0.93696	0.9735
BCR	6	0.14235	1.0089	0.010523	0.23418	0.31302	0.62144
BLK	6	-0.064359	-1.1694	0.54295	0.90771	0.24225	0.56595
BMP2K	6	0.11365	1.7504	0.038111	0.44518	0.080046	0.47177
BMPR1A	6	0.066851	0.74683	0.20137	0.74035	0.45517	0.73417
BMPR1B	6	-0.0035932	-0.08926	0.85751	0.97731	0.92888	0.97048
BMPR2	6	-0.17446	-1.8614	0.12344	0.68025	0.062693	0.47177
BRAF	6	-0.059331	-0.92339	0.57765	0.91734	0.3558	0.66086
BRSK1	6	-0.084167	-1.3849	0.41382	0.86426	0.16607	0.51563
BRSK2	6	-0.075192	-1.3395	0.46985	0.8874	0.1804	0.52303
BTK	6	-0.035605	-1.7251	0.79835	0.96398	0.084502	0.47177
BUB1	6	-0.27351	-1.9059	0.037543	0.44147	0.056666	0.47177
BUB1B	6	-0.24382	-1.8201	0.05347	0.54023	0.068748	0.47177
CAMK1	6	-0.051948	-1.0793	0.63965	0.92666	0.28044	0.59448
CAMK1D	6	0.12944	1.5555	0.020193	0.35149	0.11983	0.48593
CAMK1G	6	0.041813	0.9108	0.38879	0.84706	0.3624	0.66434
CAMK2A	6	-0.0079034	-0.29392	0.9087	0.98459	0.76882	0.89717
CAMK2B	6	0.076927	1.4894	0.15387	0.71353	0.13637	0.49258
CAMK2D	6	0.078932	1.1599	0.14164	0.70149	0.2461	0.56909
CAMK2G	6	0.015153	0.21336	0.65984	0.93331	0.83104	0.92878
CAMK4	6	0.077556	1.7826	0.15017	0.70573	0.074654	0.47177
CAMKK1	6	-0.0032302	-0.036272	0.85466	0.97692	0.97107	0.99079
CAMKK2	6	0.076027	0.92369	0.1587	0.72036	0.35565	0.66086
CAMKV	6	-0.020994	-0.26062	0.94056	0.99012	0.79438	0.91097
CASK	6	0.0086581	0.65661	0.72327	0.9443	0.51143	0.75163
CDC42BPA	6	-0.03586	-0.63554	0.79579	0.96398	0.52508	0.75731
CDC42BPB	6	-0.10521	-1.3176	0.30774	0.80927	0.18762	0.52758
CDC42BPG	6	-0.11375	-1.5637	0.27247	0.80167	0.11789	0.48593
CDC7	6	-0.31224	-1.8451	0.023891	0.37333	0.065028	0.47177
CDK1	8	-0.6687	-2.3957	0	0	0.016591	0.47177
CDK10	6	-0.097862	-0.8851	0.33618	0.81517	0.3761	0.67496
CDK11A	6	-0.11814	-1.002	0.25427	0.79115	0.31633	0.62485
CDK11B	6	-0.20288	-1.906	0.08959	0.61523	0.056644	0.47177
CDK12	6	-0.10601	-0.81038	0.30489	0.80784	0.41772	0.70495
CDK13	6	-0.1276	-1.6246	0.22526	0.7642	0.10425	0.47177
CDK14	6	0.060532	1.1401	0.24346	0.78428	0.25426	0.57852
CDK15	6	0.08038	1.4527	0.1368	0.70149	0.14632	0.4971
CDK16	6	0.040264	1.548	0.40273	0.85611	0.12162	0.48593
CDK17	6	-0.063404	-0.81411	0.54949	0.9102	0.41558	0.7039
CDK18	6	0.0036217	0.02607	0.77588	0.95453	0.9792	0.99336
