Gene	sgRNA	Ctrl_3|beta	Ctrl_3|z	Ctrl_3|p-value	Ctrl_3|fdr	Ctrl_3|wald-p-value	Ctrl_3|wald-fdr
AAK1	6	-0.080079	-0.88888	0.96559	0.99386	0.37407	0.54036
AATK	6	-0.21053	-2.0092	0.51479	0.77816	0.04452	0.188
ABL1	6	0.18421	1.8298	0.021615	0.14232	0.067285	0.20491
ABL2	6	0.026689	0.33002	0.48606	0.75754	0.74139	0.83202
ACVR1	6	-0.023509	-0.69765	0.7682	0.90486	0.48539	0.64475
ACVR1B	6	-0.049679	-1.2758	0.89022	0.96071	0.20201	0.36119
ACVR1C	6	0.035067	0.68789	0.44681	0.72752	0.49152	0.65025
ACVR2A	6	-0.15034	-1.7517	0.6971	0.87567	0.079827	0.21792
ACVRL1	6	0.024139	0.6461	0.50228	0.76883	0.51822	0.67016
ADCK1	6	0.082096	1.7136	0.22497	0.51697	0.08661	0.22457
ADCK2	6	0.17546	1.9982	0.028441	0.17391	0.045693	0.188
ADCK3	6	0.052861	1.7479	0.34528	0.63794	0.080482	0.21792
ADCK4	6	0.046412	0.55303	0.38396	0.67433	0.58024	0.70471
ADCK5	6	-0.011292	-0.26486	0.6971	0.87567	0.79112	0.86518
ADRBK1	6	-0.21701	-1.974	0.49516	0.76259	0.048383	0.18923
ADRBK2	6	0.063641	0.76938	0.30205	0.60202	0.44167	0.60796
AK1	6	-0.047863	-1.6347	0.88282	0.95684	0.1021	0.24306
AK2	6	-0.20715	-1.4647	0.52588	0.78381	0.14299	0.29281
AK3	6	-0.23325	-1.2744	0.45592	0.73465	0.20251	0.36145
AKT1	6	-0.59577	-2.863	0.052901	0.25445	0.0041965	0.044002
AKT2	6	-0.40452	-2.5899	0.16496	0.44788	0.0096	0.076887
AKT3	6	0.14589	1.8168	0.061149	0.27423	0.069251	0.20829
ALK	6	-0.072719	-0.61445	0.99602	0.99715	0.53892	0.68029
