Gene	sgRNA	Ts2.8|beta	Ts2.8|z	Ts2.8|p-value	Ts2.8|fdr	Ts2.8|wald-p-value	Ts2.8|wald-fdr
AAK1	6	-0.064474	-1.5486	0.99886	0.99943	0.12149	0.27477
AATK	6	-0.23793	-1.2844	0.44482	0.75556	0.199	0.3631
ABL1	6	0.088591	1.2209	0.20392	0.51435	0.22212	0.38951
ABL2	6	-0.075514	-1.1947	0.94767	0.99055	0.2322	0.39964
ACVR1	6	0.063237	1.1594	0.31371	0.63684	0.24631	0.41478
ACVR1B	6	-0.0045807	-0.046955	0.67548	0.88985	0.96255	0.98161
ACVR1C	6	0.14999	1.5408	0.047213	0.24198	0.12336	0.27679
ACVR2A	6	0.06821	1.2353	0.28982	0.61018	0.21673	0.3839
ACVRL1	6	-0.18023	-1.4417	0.59215	0.84634	0.14938	0.30677
ADCK1	6	0.11296	1.6122	0.124	0.40748	0.10691	0.25839
ADCK2	6	0.11732	1.646	0.11576	0.39766	0.09977	0.25153
ADCK3	6	0.048323	1.0156	0.38481	0.69933	0.30982	0.48229
ADCK4	6	-0.13639	-1.6365	0.72241	0.91236	0.10173	0.25315
ADCK5	6	-0.070497	-0.91594	0.97383	0.9951	0.3597	0.53071
ADRBK1	6	-0.092315	-1.7453	0.8777	0.97197	0.080927	0.23259
ADRBK2	6	0.020682	0.28412	0.53413	0.81961	0.77632	0.8523
AK1	6	-0.10258	-1.8117	0.8339	0.95506	0.070037	0.22567
AK2	6	-0.22839	-1.8198	0.46672	0.7726	0.068793	0.22479
AK3	6	-0.054419	-0.36063	0.95307	0.99055	0.71837	0.80748
AKT1	6	-0.1138	-1.3301	0.79067	0.94014	0.18348	0.34684
AKT2	6	-0.24151	-2.2999	0.438	0.74866	0.021454	0.14423
AKT3	6	0.11482	1.9823	0.12031	0.40133	0.047449	0.21107
ALK	6	0.10025	1.3312	0.16382	0.46602	0.18314	0.34638
AMHR2	6	-0.1205	-1.9702	0.77048	0.93221	0.04881	0.2119
ANKK1	6	0.11767	1.7435	0.11547	0.39765	0.081243	0.2328
ARAF	6	0.071188	1.2912	0.27474	0.59227	0.19664	0.3601
ATM	6	-0.32933	-2.6303	0.25939	0.57758	0.0085304	0.076708
ATR	6	-2.4474	-5.4849	0	0	4.1382e-08	2.5526e-06
AURKA	6	-1.1907	-2.8718	0.0011377	0.015936	0.0040816	0.04654
AURKB	6	-1.6951	-3.4876	0	0	0.00048744	0.0085266
AURKC	6	-0.035386	-0.35284	0.84755	0.95666	0.72421	0.813
AXL	6	-0.10002	-0.76733	0.84016	0.95506	0.44288	0.60661
BCR	6	-0.34357	-2.2341	0.23549	0.55163	0.025475	0.16023
BLK	6	0.16497	1.7257	0.030148	0.18244	0.084393	0.23713
BMP2K	6	0.092411	1.6241	0.19198	0.50296	0.10435	0.25584
BMPR1A	6	-0.12734	-1.2004	0.74915	0.92389	0.22999	0.39736
BMPR1B	6	-0.049719	-1.4465	0.93032	0.98793	0.14805	0.30565
BMPR2	6	-0.026712	-0.32043	0.80233	0.94506	0.74864	0.83166
BRAF	6	-0.045334	-0.65722	0.90557	0.97761	0.51104	0.66327
BRSK1	6	0.02895	0.59273	0.49317	0.79026	0.55336	0.67804
BRSK2	6	-0.14256	-1.2556	0.70193	0.90139	0.20924	0.37613
BTK	6	0.04555	0.73264	0.40017	0.71204	0.46378	0.6231
BUB1	6	-1.2821	-3.3668	0.00085324	0.012876	0.00076042	0.012611
BUB1B	6	-1.3465	-3.2838	0.00085324	0.012876	0.001024	0.01589
