Gene	sgRNA	c111|beta	c111|z	c111|p-value	c111|fdr	c111|wald-p-value	c111|wald-fdr
AAK1	6	0.02823	0.19737	0.67406	0.90805	0.84354	0.93506
AATK	6	-0.19712	-1.3122	0.2938	0.75971	0.18947	0.51283
ABL1	6	0.14117	1.6549	0.19653	0.66603	0.097953	0.44823
ABL2	6	-0.10183	-1.3772	0.6149	0.89008	0.16845	0.49272
ACVR1	6	-0.14511	-1.1088	0.44596	0.83546	0.26751	0.58748
ACVR1B	6	-0.089178	-1.5138	0.66923	0.90647	0.13008	0.46291
ACVR1C	6	-0.0058905	-0.046428	0.86121	0.96679	0.96297	0.98798
ACVR2A	6	0.075187	0.52053	0.43003	0.83065	0.6027	0.79448
ACVRL1	6	-0.22373	-1.561	0.23265	0.70884	0.11852	0.46103
ADCK1	6	0.13978	1.6611	0.19937	0.66953	0.096694	0.44823
ADCK2	6	0.034641	0.33589	0.64022	0.90016	0.73695	0.8739
ADCK3	6	-0.044454	-0.52926	0.907	0.97285	0.59663	0.78962
ADCK4	6	0.017719	0.18729	0.72469	0.92456	0.85144	0.93772
ADCK5	6	-0.089774	-0.67984	0.66667	0.90647	0.4966	0.75429
ADRBK1	6	0.074482	0.75392	0.43345	0.83065	0.4509	0.7279
ADRBK2	6	0.043792	0.43883	0.58732	0.88366	0.66078	0.83183
AK1	6	-0.18415	-1.5983	0.32594	0.77635	0.10998	0.45547
AK2	6	-0.15576	-1.1595	0.41013	0.82102	0.24627	0.56373
AK3	6	-0.28813	-1.7426	0.11832	0.55319	0.081404	0.44055
AKT1	6	0.15256	1.7192	0.17406	0.63883	0.085574	0.44076
AKT2	6	-0.026363	-0.20092	0.98749	0.99542	0.84076	0.93391
AKT3	6	-0.085404	-0.6406	0.68515	0.91146	0.52179	0.75857
ALK	6	0.16844	1.661	0.13567	0.58029	0.096718	0.44823
AMHR2	6	0.029515	0.29166	0.66724	0.90647	0.77055	0.89208
ANKK1	6	0.11625	1.2361	0.26934	0.741	0.21641	0.53509
ARAF	6	0.15935	1.4081	0.157	0.61676	0.15911	0.48604
ATM	6	0.20505	1.3779	0.068828	0.43292	0.16825	0.49272
ATR	6	-0.85169	-2.8499	0.00028441	0.010526	0.004373	0.15851
AURKA	6	-0.35292	-1.272	0.067975	0.42986	0.20338	0.52234
AURKB	6	-0.25386	-1.3728	0.16951	0.63136	0.1698	0.49391
AURKC	6	-0.14139	-0.67623	0.4616	0.84107	0.49889	0.75543
AXL	6	-0.24618	-1.7584	0.18601	0.65446	0.078688	0.44055
BCR	6	-0.12292	-0.77752	0.5347	0.86997	0.43685	0.72091
BLK	6	0.1614	1.1992	0.15102	0.60181	0.23046	0.55123
BMP2K	6	0.35142	1.7855	0.0028441	0.060976	0.074176	0.43756
BMPR1A	6	-0.50213	-2.37	0.015074	0.19414	0.017787	0.28742
BMPR1B	6	-0.1185	-1.2684	0.55347	0.87646	0.20465	0.52457
BMPR2	6	-0.2269	-2.2107	0.22639	0.7007	0.027053	0.33428
BRAF	6	-0.1397	-1.3819	0.46615	0.84398	0.16702	0.49141
BRSK1	6	0.009227	0.12091	0.77531	0.94358	0.90376	0.9603
BRSK2	6	0.13182	1.3942	0.2244	0.69823	0.16326	0.48968
BTK	6	-0.031206	-0.30337	0.98521	0.99426	0.76161	0.88904
BUB1	6	-0.20866	-0.73842	0.26593	0.73506	0.46026	0.73358
BUB1B	6	-0.4218	-1.6735	0.032139	0.3079	0.094223	0.44823
CAMK1	6	-0.05929	-0.65112	0.82708	0.95595	0.51497	0.75857
CAMK1D	6	0.26916	1.3714	0.01934	0.22896	0.17024	0.49426
CAMK1G	6	0.071425	0.55447	0.44824	0.8383	0.57926	0.78033
CAMK2A	6	-0.078425	-0.61748	0.7244	0.92456	0.53692	0.75968
CAMK2B	6	0.21516	1.7577	0.057452	0.40726	0.078803	0.44055
CAMK2D	6	0.02605	0.23494	0.68572	0.91153	0.81425	0.91975
