Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nCPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nCPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific pTPM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cutaneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
AADAC	"CES5A1, DAC"	ENSG00000114771	"Arylacetamide deacetylase"	P22760	3	151814073-151828488	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Lipid metabolism"	Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	9	"adrenal gland: 235.1;intestine: 227.7;liver: 884.4"	"Group enriched"	"Detected in some"	4	"Enterocytes: 457.0;Hepatocytes: 847.8;Pancreatic acinar cells: 409.7"	"Cell type enhanced"	"Detected in single"		"ependymal cell: 1.1"	"Cancer enriched"	"Detected in many"	20	"Liver Hepatocellular Carcinoma (TCGA): 238.5"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Gallbladder cancer: 68.3;liver cancer: 39.2"	"Adipose visceral - Mesothelial cells, Adrenal gland - Adrenal cortex cells, Liver - Hepatocytes, Lung - Alveolar cells type 2, Stomach - Gastric mucous cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA002911	Approved						NA	NA				"Cluster 76: Non-specific - Metabolism"		"Cluster 7: Liver cancer - Metabolism"	"Cluster 93: Hepatocytes - Bile production & excretion"	1			"HPA002911: "	"unprognostic (2.38e-1)"				"unprognostic (8.38e-2)"	"unprognostic (1.57e-1)"			"unprognostic (5.57e-2)"					"unprognostic (1.29e-1)"	"potential prognostic favorable (6.76e-5)"	"unprognostic (1.39e-1)"	"unprognostic (9.78e-3)"	"unprognostic (9.76e-2)"	"unprognostic (1.18e-1)"	"potential prognostic favorable (1.59e-5)"	"unprognostic (2.57e-1)"	"potential prognostic unfavorable (1.22e-5)"	"unprognostic (8.13e-2)"			"unprognostic (6.41e-2)"		"potential prognostic unfavorable (1.63e-4)"			
AAGAB	"FLJ11506, p34"	ENSG00000103591	"Alpha and gamma adaptin binding protein"	Q6PD74	15	67200667-67255195	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"	"Protein transport, Transport"		"Palmoplantar keratoderma"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Breast - Breast glandular cells, Testis - Spermatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA039371, HPA040174"	Supported		Supported	"Nuclear speckles,Cytosol"			NA	NA			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 76: Non-specific - Metabolism"	"Cluster 14: Neurons - Synaptic function"	"Cluster 58: Non-specific - Nuclear processes"	"Cluster 7: Non-specific - Transcription"	15	"Nuclear speckles, Cytosol"		"HPA039371: , HPA040174: "	"unprognostic (2.02e-2)"	"unprognostic (2.74e-3)"	"unprognostic (2.36e-1)"	"unprognostic (1.79e-2)"	"unprognostic (5.08e-2)"	"unprognostic (1.79e-1)"	"unprognostic (3.53e-2)"	"unprognostic (6.02e-2)"	"unprognostic (2.35e-1)"	"unprognostic (1.21e-1)"	"potential prognostic favorable (2.05e-6)"	"unprognostic (2.13e-1)"	"unprognostic (7.66e-2)"	"unprognostic (5.75e-2)"	"potential prognostic unfavorable (9.14e-4)"	"unprognostic (7.28e-3)"	"unprognostic (1.05e-1)"	"unprognostic (6.51e-2)"	"unprognostic (1.66e-1)"	"unprognostic (2.78e-1)"	"unprognostic (8.36e-2)"	"unprognostic (8.75e-2)"	"unprognostic (2.69e-2)"	"unprognostic (2.13e-1)"	"unprognostic (5.30e-2)"	"unprognostic (1.45e-1)"	"unprognostic (1.00e-1)"	"unprognostic (1.02e-1)"	"unprognostic (5.22e-1)"	"unprognostic (3.01e-3)"	"unprognostic (3.47e-2)"
ABCA1	"ABC1, HDLDT1, TGD"	ENSG00000165029	"ATP binding cassette subfamily A member 1"	O95477	9	104781006-104928155	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Cholesterol metabolism, Lipid metabolism, Steroid metabolism, Sterol metabolism, Transport"	Translocase	"Atherosclerosis, Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Adipocytes: 432.4;Adrenal cortex cells: 862.8;Kupffer cells: 1038.2;Macrophages: 728.9;Mast cells: 577.9;monocytes: 680.4;Neutrophils: 1571.1;Smooth muscle cells: 486.4"	"Cell type enhanced"	"Detected in all"		"astrocyte: 485.5;fibroblast: 338.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	5	"eosinophil: 13.1;neutrophil: 10.7"	"Lineage enriched"	"Detected in many"	8	"granulocytes: 13.1"	"Low cancer specificity"	"Detected in many"			"Adrenal gland - Adrenal cortex cells, Minor Salivary Gland - Macrophages"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB069889, HPA075201"	Approved		Supported	"Golgi apparatus,Plasma membrane"			NA	NA			"Cluster 22: Eosinophils - Transcription"	"Cluster 76: Non-specific - Metabolism"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 31: Neutrophils - Chemotaxis & Apoptosis"	16	"Plasma membrane"	"Golgi apparatus"	"CAB069889: , HPA075201: "	"unprognostic (1.04e-2)"	"unprognostic (2.61e-2)"	"unprognostic (9.75e-2)"	"unprognostic (2.19e-1)"	"unprognostic (2.28e-1)"	"unprognostic (8.23e-2)"	"unprognostic (7.72e-2)"	"unprognostic (8.66e-2)"	"unprognostic (2.61e-1)"	"unprognostic (1.87e-2)"	"potential prognostic favorable (4.66e-4)"	"unprognostic (6.71e-3)"	"unprognostic (9.94e-3)"	"unprognostic (7.19e-2)"	"unprognostic (1.03e-1)"	"unprognostic (2.68e-1)"	"unprognostic (8.55e-3)"	"unprognostic (1.50e-1)"	"unprognostic (1.65e-1)"	"unprognostic (4.09e-3)"	"potential prognostic unfavorable (1.19e-4)"	"unprognostic (3.06e-1)"	"unprognostic (5.37e-2)"	"unprognostic (1.45e-1)"	"unprognostic (1.99e-1)"	"unprognostic (1.36e-2)"	"unprognostic (2.73e-1)"	"potential prognostic unfavorable (7.46e-4)"	"unprognostic (5.47e-2)"	"unprognostic (2.50e-1)"	"unprognostic (1.14e-1)"
ABCC9	"CMD1O, SUR2"	ENSG00000069431	"ATP binding cassette subfamily C member 9"	O60706	12	21797389-21942543	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins, Transporters"	Transport	Receptor	"Atrial fibrillation, Cardiomyopathy, Disease variant, FDA approved drug targets, Intellectual disability"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Astrocytes: 84.4;Cardiomyocytes: 233.0;Ependymal cells: 168.6;Fibroblasts: 84.3;Hepatocytes: 216.5;Myonuclei: 482.0;Pericytes: 414.1;Smooth muscle cells: 144.3"	"Cell type enhanced"	"Detected in many"		"ependymal cell: 194.8;pericyte: 470.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Kidney - Fibroblasts, Pituitary gland - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA007279	Uncertain		Approved	"Nucleoplasm,Plasma membrane"			NA	NA				"Cluster 76: Non-specific - Metabolism"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 71: Lymphoma - Inflammatory response"	"Cluster 110: Mural cells - ECM organization"		"Nucleoplasm, Plasma membrane"		"HPA007279: "	"unprognostic (1.79e-1)"	"potential prognostic unfavorable (9.88e-4)"	"unprognostic (1.25e-1)"	"unprognostic (4.91e-2)"	"potential prognostic unfavorable (7.23e-4)"	"unprognostic (2.47e-1)"	"unprognostic (3.10e-1)"	"unprognostic (1.09e-1)"	"unprognostic (7.90e-2)"	"unprognostic (1.32e-2)"	"unprognostic (1.62e-1)"	"potential prognostic favorable (1.68e-4)"	"unprognostic (5.46e-3)"	"unprognostic (1.39e-1)"	"unprognostic (8.16e-3)"	"unprognostic (2.68e-1)"	"unprognostic (1.10e-1)"	"unprognostic (2.55e-1)"	"unprognostic (5.70e-2)"	"unprognostic (8.19e-2)"	"unprognostic (9.97e-2)"	"unprognostic (1.17e-2)"	"unprognostic (1.74e-2)"	"unprognostic (2.56e-1)"	"unprognostic (7.50e-3)"	"unprognostic (7.75e-3)"	"unprognostic (9.45e-3)"	"unprognostic (1.92e-3)"	"unprognostic (1.34e-1)"	"unprognostic (3.72e-3)"	"unprognostic (1.75e-2)"
ABHD10	FLJ11342	ENSG00000144827	"Abhydrolase domain containing 10, depalmitoylase"	Q9NUJ1	3	111979010-111993368	"Enzymes, Predicted intracellular proteins"		Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Epididymal principal cells: 74.1"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Heart muscle - Cardiomyocytes, Prostate - Prostate glandular cells, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA036991, HPA036992, HPA066081"	Supported		Approved	Mitochondria			No	No		63000	"Cluster 32: Basophils - Transcription"	"Cluster 76: Non-specific - Metabolism"	"Cluster 31: Non-specific - Transcription"	"Cluster 63: Non-specific - Protein processing"	"Cluster 10: Epididymal principal cells - Sperm maturation microenvironment"	25	Mitochondria		"HPA036991: , HPA036992: , HPA066081: "	"unprognostic (1.65e-2)"	"unprognostic (1.47e-1)"	"unprognostic (5.19e-3)"	"unprognostic (4.01e-1)"	"unprognostic (4.93e-2)"	"unprognostic (1.13e-1)"	"unprognostic (5.74e-2)"	"unprognostic (6.27e-2)"	"unprognostic (1.17e-2)"	"unprognostic (7.31e-2)"	"potential prognostic favorable (1.05e-6)"	"unprognostic (2.41e-1)"	"unprognostic (1.05e-3)"	"unprognostic (2.36e-2)"	"unprognostic (1.30e-1)"	"unprognostic (3.86e-2)"	"unprognostic (1.34e-1)"	"unprognostic (7.44e-2)"	"unprognostic (1.67e-1)"	"unprognostic (3.41e-1)"	"unprognostic (3.24e-3)"	"unprognostic (3.29e-1)"	"unprognostic (7.62e-3)"	"unprognostic (1.60e-1)"	"unprognostic (1.39e-1)"	"unprognostic (3.31e-1)"	"unprognostic (1.31e-1)"	"unprognostic (2.66e-2)"	"unprognostic (3.03e-1)"	"unprognostic (8.16e-3)"	"unprognostic (2.20e-2)"
ABHD14B	"CIB, MGC15429"	ENSG00000114779	"Abhydrolase domain containing 14B"	Q96IU4	3	51968510-51983409	"Plasma proteins, Predicted intracellular proteins"		"Acyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Adipocytes: 21.6;Cardiomyocytes: 47.3;Rod photoreceptor cells: 12.4;Tuft cells: 11.5"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Liver - Hepatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA036444, HPA036642"	Supported		Supported	Nucleoplasm,Nucleoli,Cytosol			NA	NA		2300000	"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 76: Non-specific - Metabolism"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 8: Non-specific - Basic cellular processes"	"Cluster 71: Non-specific - Cardiac endocrine signaling & maintenanc"	2	"Nucleoplasm, Nucleoli"	Cytosol	"HPA036444: , HPA036642: "	"unprognostic (1.43e-2)"	"unprognostic (6.76e-2)"	"unprognostic (2.14e-1)"	"unprognostic (3.77e-2)"	"unprognostic (2.00e-1)"	"unprognostic (7.73e-2)"	"unprognostic (3.04e-2)"	"potential prognostic unfavorable (9.43e-5)"	"unprognostic (5.78e-3)"	"unprognostic (1.16e-1)"	"potential prognostic favorable (2.68e-4)"	"unprognostic (5.54e-2)"	"potential prognostic favorable (9.72e-7)"	"unprognostic (8.78e-3)"	"potential prognostic favorable (3.62e-4)"	"unprognostic (4.58e-2)"	"unprognostic (5.39e-2)"	"unprognostic (3.95e-2)"	"unprognostic (1.68e-1)"	"unprognostic (1.89e-1)"	"unprognostic (4.49e-2)"	"unprognostic (1.07e-1)"	"unprognostic (6.14e-3)"	"unprognostic (9.44e-3)"	"unprognostic (1.03e-1)"	"unprognostic (7.39e-2)"	"unprognostic (1.71e-1)"	"unprognostic (1.10e-1)"	"unprognostic (2.26e-1)"	"unprognostic (8.45e-2)"	"unprognostic (1.62e-2)"
ABLIM3	KIAA0843	ENSG00000173210	"Actin binding LIM protein family member 3"	O94929	5	149141483-149260542	"Plasma proteins, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 109.5"	"Cell type enhanced"	"Detected in many"		"Esophageal apical cells: 827.2;Hepatocytes: 339.9;Lymphatic endothelial cells: 129.4;Platelets: 161.9;Proximal tubule cells: 143.0;Rod photoreceptor cells: 790.2;Urothelial cells: 144.2;Vascular endothelial cells: 186.0"	"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in all"		"Kidney Renal Clear Cell Carcinoma (TCGA): 36.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Kidney cancer: 43.8"	"Adipose visceral - Endothelial cells, Breast - Endothelial cells, Kidney - Proximal tubular cells, Prostate - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA002472, HPA003245"	Approved		Uncertain	Nucleoplasm,Cytosol			NA	NA		5500	"Cluster 4: Neutrophils - Degranulation"	"Cluster 76: Non-specific - Metabolism"	"Cluster 25: Non-specific - Transcription"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 79: Photoreceptor cells - Phototransduction"	3	Nucleoplasm	Cytosol	"HPA002472: , HPA003245: "	"unprognostic (4.79e-2)"	"unprognostic (1.35e-1)"	"unprognostic (6.78e-2)"	"unprognostic (1.10e-3)"	"unprognostic (5.27e-2)"	"potential prognostic unfavorable (9.95e-4)"	"unprognostic (7.44e-2)"	"unprognostic (2.37e-1)"	"unprognostic (5.31e-2)"	"unprognostic (5.37e-2)"	"potential prognostic favorable (1.66e-5)"	"unprognostic (2.59e-2)"	"unprognostic (1.52e-1)"	"unprognostic (1.88e-2)"	"unprognostic (1.88e-1)"	"unprognostic (3.88e-2)"	"unprognostic (1.36e-1)"	"potential prognostic unfavorable (3.96e-5)"	"unprognostic (6.35e-3)"	"unprognostic (1.02e-1)"		"unprognostic (6.22e-3)"	"unprognostic (4.59e-3)"	"unprognostic (2.43e-1)"	"unprognostic (3.30e-1)"	"unprognostic (7.36e-2)"	"unprognostic (1.31e-1)"	"unprognostic (2.95e-2)"	"unprognostic (2.51e-1)"	"unprognostic (1.85e-3)"	"unprognostic (5.43e-2)"
ACAD10	MGC5601	ENSG00000111271	"Acyl-CoA dehydrogenase family member 10"	Q6JQN1	12	111686053-111757107	"Predicted intracellular proteins"		Oxidoreductase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Choroid plexus epithelial cells: 81.7;Myonuclei: 101.5"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Heart muscle - Cardiomyocytes"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			HPA067222	Uncertain						NA	NA			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 76: Non-specific - Metabolism"	"Cluster 50: Non-specific - Nucleic acid binding"	"Cluster 38: Non-specific - Transcription"	"Cluster 7: Non-specific - Transcription"	26			"HPA067222: "	"unprognostic (4.27e-2)"	"unprognostic (2.61e-3)"	"unprognostic (4.23e-2)"	"unprognostic (6.41e-2)"	"unprognostic (3.40e-2)"	"unprognostic (1.21e-1)"	"unprognostic (1.07e-1)"	"unprognostic (2.73e-1)"	"unprognostic (2.14e-1)"	"unprognostic (1.61e-1)"	"unprognostic (2.84e-3)"	"unprognostic (1.40e-1)"	"unprognostic (2.32e-3)"	"unprognostic (1.75e-1)"	"unprognostic (1.14e-1)"	"unprognostic (1.46e-1)"	"unprognostic (1.38e-1)"	"unprognostic (2.17e-1)"	"unprognostic (6.45e-2)"	"unprognostic (3.95e-3)"	"unprognostic (7.80e-2)"	"unprognostic (1.38e-2)"	"unprognostic (3.24e-2)"	"unprognostic (2.20e-2)"	"unprognostic (1.21e-2)"	"unprognostic (6.40e-3)"	"unprognostic (4.06e-1)"	"unprognostic (1.43e-1)"	"unprognostic (7.64e-2)"	"unprognostic (3.90e-2)"	"unprognostic (3.53e-2)"
ACAD8		ENSG00000151498	"Acyl-CoA dehydrogenase family member 8"	Q9UKU7	11	134253548-134265855	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"	"Branched-chain amino acid catabolism, Transcription, Transcription regulation"	"Activator, Oxidoreductase"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Neutrophil progenitors: 58.9"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Breast - Breast glandular cells, Heart muscle - Cardiomyocytes, Prostate - Prostate glandular cells, Skin - Sebaceous gland cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA040689, HPA043903"	Enhanced						NA	NA			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 76: Non-specific - Metabolism"	"Cluster 21: Non-specific - Metabolism"	"Cluster 24: Non-specific - Unknown function"	"Cluster 48: Neutrophils - Phagocytosis & degranulation"	3			"HPA040689: , HPA043903: "	"unprognostic (2.87e-1)"	"potential prognostic unfavorable (7.51e-4)"	"unprognostic (2.25e-2)"	"unprognostic (3.47e-1)"	"unprognostic (2.53e-2)"	"unprognostic (1.91e-2)"	"unprognostic (7.63e-3)"	"potential prognostic favorable (2.99e-4)"	"unprognostic (9.44e-2)"	"unprognostic (8.29e-2)"	"potential prognostic favorable (3.02e-11)"	"unprognostic (2.21e-2)"	"potential prognostic favorable (6.66e-7)"	"unprognostic (2.21e-1)"	"unprognostic (1.20e-2)"	"unprognostic (5.46e-2)"	"unprognostic (1.22e-1)"	"unprognostic (2.05e-2)"	"unprognostic (1.27e-1)"	"unprognostic (1.83e-1)"	"unprognostic (6.38e-3)"	"unprognostic (1.79e-1)"	"unprognostic (6.92e-2)"	"unprognostic (2.27e-1)"	"unprognostic (3.32e-2)"	"unprognostic (2.38e-1)"	"unprognostic (3.26e-1)"	"unprognostic (1.37e-1)"	"unprognostic (5.36e-2)"	"unprognostic (4.72e-2)"	"unprognostic (1.08e-2)"
ACADM	"ACAD1, MCAD, MCADH"	ENSG00000117054	"Acyl-CoA dehydrogenase medium chain"	P11310	1	75724431-75787575	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 343.6;skeletal muscle: 357.2;tongue: 445.9"	"Cell type enhanced"	"Detected in all"		"Esophageal apical cells: 740.0;Hepatocytes: 338.0;Parietal cells: 316.5"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skeletal muscle - Skeletal myocytes, Skin - Sebaceous gland cells, Stomach - Parietal cells, Testis - Spermatogonia, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA006198, HPA026542"	Enhanced		Supported	"Mitochondria,Perinuclear theca,Calyx,Principal piece"			NA	NA		480000	"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 76: Non-specific - Metabolism"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 84: Apical squamous epithelium - Cornification"	12	Mitochondria	"Perinuclear theca, Calyx, Principal piece"	"HPA006198: , HPA026542: "	"unprognostic (6.45e-2)"	"unprognostic (6.04e-2)"	"unprognostic (2.18e-1)"	"unprognostic (1.44e-1)"	"unprognostic (7.57e-3)"	"unprognostic (2.73e-3)"	"unprognostic (8.00e-2)"	"unprognostic (2.55e-1)"	"unprognostic (2.07e-2)"	"unprognostic (2.75e-2)"	"validated prognostic favorable (4.28e-13)"	"validated prognostic favorable (1.48e-4)"	"unprognostic (1.19e-2)"	"unprognostic (7.83e-2)"	"unprognostic (2.51e-2)"	"unprognostic (1.10e-1)"	"unprognostic (3.13e-2)"	"unprognostic (7.77e-2)"	"unprognostic (1.14e-1)"	"unprognostic (3.22e-2)"	"unprognostic (7.49e-2)"	"unprognostic (2.40e-1)"	"unprognostic (1.35e-2)"	"unprognostic (2.68e-1)"	"unprognostic (7.10e-3)"	"unprognostic (1.03e-1)"	"unprognostic (1.13e-1)"	"unprognostic (1.10e-1)"	"unprognostic (4.55e-2)"	"unprognostic (1.80e-1)"	"unprognostic (2.72e-2)"
