chrom,arm,start,end,chrom_num
1,1p,0,121700000,1
1,1q,125100000,248956422,1
10,10p,0,38000000,10
10,10q,41600000,133797422,10
11,11p,0,51000000,11
11,11q,55800000,135086622,11
12,12p,0,33200000,12
12,12q,37800000,133275309,12
13,13p,0,16500000,13
13,13q,18900000,114364328,13
14,14p,0,16100000,14
14,14q,18200000,107043718,14
15,15p,0,17500000,15
15,15q,20500000,101991189,15
16,16p,0,35300000,16
16,16q,38400000,90338345,16
17,17p,0,22700000,17
17,17q,27400000,83257441,17
18,18p,0,15400000,18
18,18q,21500000,80373285,18
19,19p,0,24200000,19
19,19q,28100000,58617616,19
2,2p,0,91800000,2
2,2q,96000000,242193529,2
20,20p,0,25700000,20
20,20q,30400000,64444167,20
21,21p,0,10900000,21
21,21q,13000000,46709983,21
22,22p,0,13700000,22
22,22q,17400000,50818468,22
3,3p,0,87800000,3
3,3q,94000000,198295559,3
4,4p,0,48200000,4
4,4q,51800000,190214555,4
5,5p,0,46100000,5
5,5q,51400000,181538259,5
6,6p,0,58500000,6
6,6q,62600000,170805979,6
7,7p,0,58100000,7
7,7q,62100000,159345973,7
8,8p,0,43200000,8
8,8q,47200000,145138636,8
9,9p,0,42200000,9
9,9q,45500000,138394717,9
